SetID	MetaSKATO_P	METASKATO_exome_wide_check	RE_BETAsum	RE_BETAsum_L95	RE_BETAsum_U95	RE_BETAsum_SE	RE_tau2	RE_het	RE_hetP	FE_BETAsum	FE_BETAsum_L95	FE_BETAsum_U95	FE_BETAsum_SE	FE_tau2	FE_het	FE_hetP	cohort1_P.value	cohort1_N.Marker.All	cohort1_N.Marker.Test	cohort1_cMAC	cohort1_cMAF	cohort1_medANDav_Pheno	cohort1_Carriers_AvPheno	cohort1_nonCarriers_AvPheno	cohort1_AvDiff_Pheno	cohort1_Carriers_medianPheno	cohort1_nonCarriers_medianPheno	cohort1_medianDiff_Pheno	cohort1_no_of_carriers	cohort1_P_regression	cohort1_BETA_noOfMutations	cohort1_BETA_L95	cohort1_BETA_U95	cohort1_eff_estimate	cohort1_eff_stdErr	cohort1_exome_wide_check	cohort2_P.value	cohort2_N.Marker.All	cohort2_N.Marker.Test	cohort2_cMAC	cohort2_cMAF	cohort2_medANDav_Pheno	cohort2_Carriers_AvPheno	cohort2_nonCarriers_AvPheno	cohort2_AvDiff_Pheno	cohort2_Carriers_medianPheno	cohort2_nonCarriers_medianPheno	cohort2_medianDiff_Pheno	cohort2_no_of_carriers	cohort2_P_regression	cohort2_BETA_noOfMutations	cohort2_BETA_L95	cohort2_BETA_U95	cohort2_eff_estimate	cohort2_eff_stdErr	cohort2_exome_wide_check	chr	start	end	gene_type	strand	additional_info1	additional_info2
Gene437	0.010709509875098	NA	2.495	-5.477	10.467	4.067	0	0.931534825665406	0.334464418928579	2.495	-5.477	10.467	4.067	0	0.931534825665406	0.334464418928579	0.317394961820792	10	6	12	0.002	48_48.61	60.455	48.159	12.295	64	48	16	11	0.253926970700711	9.114	-6.513	24.74	9.114	7.973	NA	0.00973557118860369	10	8	32	0.005333	48_48.61	49.667	48.505	1.161	48	48	0	27	0.971896934042013	0.167	-9.101	9.435	0.167	4.729	NA	1	654500	655500	protein_coding	+	info437	info437
Gene676	0.0121011645901252	NA	3.072	-10.584	16.729	6.967	81.235411	5.97854435049461	0.0144809492413889	0.68	-4.423	5.782	2.603	81.235411	5.97854435049461	0.0144809492413889	0.0480900632649467	10	8	30	0.005	48_48.61	61	47.484	13.516	59	46	13	25	0.0288883952687639	10.537	1.132	19.943	10.537	4.799	NA	0.12402067662678	10	8	42	0.007	48_48.61	43.357	49.151	-5.794	42.5	48.5	-6	28	0.269127363699756	-3.431	-9.506	2.643	-3.431	3.099	NA	1	1013000	1014000	non_coding	-	info676	info676
Gene1061	0.0132487874378723	NA	0.702	-7.984	9.388	4.432	29.0176905	3.76168269528183	0.0524397806325836	-0.264	-4.555	4.028	2.189	29.0176905	3.76168269528183	0.0524397806325836	0.20560800249618	10	10	44	0.007333	48_48.61	44	49.029	-5.029	35	48	-13	25	0.213043578628403	-3.394	-8.725	1.937	-3.394	2.72	NA	0.00411598402565505	10	8	37	0.006167	48_48.61	53.385	48.157	5.228	53	48	5	26	0.13740191387822	5.497	-1.736	12.73	5.497	3.69	NA	1	1590500	1591500	protein_coding	+	info1061	info1061
Gene987	0.0136657791084213	NA	7.726	1.117	14.335	3.372	0	0.414268605876784	0.519810842325819	7.726	1.117	14.335	3.372	0	0.414268605876784	0.519810842325819	0.365788145517498	10	9	29	0.004833	48_48.61	53.292	48.203	5.089	47	48	-1	24	0.240412896980264	5.579	-3.717	14.875	5.579	4.743	NA	0.0111017374254436	10	7	25	0.004167	48_48.61	57	48.074	8.926	64.5	47	17.5	18	0.0394377887043593	9.92	0.522	19.318	9.92	4.795	NA	1	1479500	1480500	protein_coding	+	info987	info987
Gene86	0.0141857257393014	NA	3.184	-16.869	23.236	10.231	189.475872	10.4285401430161	0.00124082783626112	-0.009	-5.841	5.822	2.975	189.475872	10.4285401430161	0.00124082783626112	0.0157193611289091	10	7	23	0.003833	48_48.61	65.722	47.518	18.204	74.5	46	28.5	18	0.00857585349620565	13.759	3.569	23.95	13.759	5.199	NA	0.299381158260874	10	6	29	0.004833	48_48.61	40.467	49.039	-8.572	36	49	-13	15	0.0652062979366287	-6.714	-13.824	0.396	-6.714	3.628	NA	1	128000	129000	non_coding	-	info86	info86
Gene1182	0.0147036331031456	NA	2.278	-8.389	12.945	5.442	40.811966	3.01098191575752	0.082702178599378	4.224	-1.082	9.53	2.707	40.811966	3.01098191575752	0.082702178599378	0.0365958024314006	10	10	29	0.004833	48_48.61	64.917	47.931	16.986	76.5	47	29.5	12	0.0280535764679783	6.838	0.767	12.909	6.838	3.098	NA	0.299284741036134	10	5	19	0.003167	48_48.61	44.214	48.825	-4.611	41	48.5	-7.5	14	0.449352841069989	-4.217	-15.129	6.695	-4.217	5.567	NA	1	1772000	1773000	non_coding	-	info1182	info1182
Gene450	0.0155041090960795	NA	6.415	-0.251	13.08	3.401	3.4874395	1.15486631141902	0.282532772342877	6.6	0.528	12.672	3.098	3.4874395	1.15486631141902	0.282532772342877	0.0094217516851024	10	6	17	0.002833	48_48.61	61.385	48.031	13.353	82	48	34	13	0.773350216220924	1.609	-9.333	12.552	1.609	5.583	NA	0.422486723817054	10	10	28	0.004667	48_48.61	64.714	47.822	16.893	72.5	46	26.5	14	0.0184832507564302	8.821	1.523	16.12	8.821	3.724	NA	1	674000	675000	non_coding	-	info450	info450
Gene1088	0.015774435937284	NA	1.598	-4.003	7.2	2.858	0	0.632168043068758	0.426561174990975	1.598	-4.003	7.2	2.858	0	0.632168043068758	0.426561174990975	0.00984510618190304	10	8	30	0.005	48_48.61	52.85	48.307	4.543	56	48	8	20	0.837111954815113	-0.868	-9.134	7.398	-0.868	4.218	NA	0.22893119023888	10	6	28	0.004667	48_48.61	52.812	48.373	4.439	53.5	47.5	6	16	0.342817566908666	3.692	-3.924	11.309	3.692	3.886	NA	1	1631000	1632000	non_coding	-	info1088	info1088
Gene190	0.0191201864647744	NA	-3.391	-15.139	8.357	5.994	47.3369575	2.90083510209564	0.0885336748715813	-2.551	-9.308	4.206	3.447	47.3369575	2.90083510209564	0.0885336748715813	0.12553273127327	10	9	22	0.003667	48_48.61	37.167	49.34	-12.174	35.5	49	-13.5	18	0.0743843046716874	-9.843	-20.616	0.931	-9.843	5.497	NA	0.0994945647570522	10	8	32	0.005333	48_48.61	49.042	48.572	0.469	46.5	48	-1.5	24	0.623153390716539	2.177	-6.497	10.852	2.177	4.426	NA	1	284000	285000	non_coding	-	info190	info190
Gene787	0.0197120603605953	NA	-1.99	-24.686	20.705	11.579	244.50336	11.3312964620697	0.000762116753416198	-2.877	-9.596	3.841	3.428	244.50336	11.3312964620697	0.000762116753416198	0.00638340327760778	10	7	25	0.004167	48_48.61	34.222	49.528	-15.306	25.5	49	-23.5	18	0.00405822368615793	-13.484	-22.609	-4.36	-13.484	4.656	NA	0.788614587126932	10	5	26	0.004333	48_48.61	56.545	47.982	8.563	59.5	46.5	13	22	0.0570765208627154	9.675	-0.252	19.602	9.675	5.065	NA	1	1179500	1180500	protein_coding	+	info787	info787
Gene1144	0.0209582824047784	NA	4.35	0.168	8.532	2.134	0	0.397183392560003	0.528547466861645	4.35	0.168	8.532	2.134	0	0.397183392560003	0.528547466861645	0.210674215305247	10	9	40	0.006667	48_48.61	56.842	48.053	8.789	61	47	14	19	0.16568162438249	3.504	-1.438	8.445	3.504	2.521	NA	0.0260702958154878	10	9	35	0.005833	48_48.61	59.615	47.566	12.05	58.5	45	13.5	26	0.106467829424286	6.487	-1.365	14.338	6.487	4.006	NA	1	1715000	1716000	non_coding	-	info1144	info1144
Gene1295	0.0216830657263276	NA	-3.14	-7.58	1.299	2.265	0	0.523789484727988	0.469229656918487	-3.14	-7.58	1.299	2.265	0	0.523789484727988	0.469229656918487	0.0190243170064491	10	9	50	0.008333	48_48.61	47.658	48.748	-1.09	51	47.5	3.5	38	0.143724998004123	-4.958	-11.588	1.671	-4.958	3.382	NA	0.120269417392032	10	8	32	0.005333	48_48.61	50.412	48.502	1.91	51	47	4	17	0.586177217166112	-1.662	-7.641	4.316	-1.662	3.05	NA	1	1941500	1942500	protein_coding	+	info1295	info1295
Gene301	0.0227414567355105	NA	-8.727	-15.553	-1.9	3.483	0	0.0034341393296803	0.953269491938461	-8.727	-15.553	-1.9	3.483	0	0.0034341393296803	0.953269491938461	0.0477642949479415	10	9	29	0.004833	48_48.61	38.381	49.38	-10.999	28	49	-21	21	0.0358549303317652	-8.602	-16.6	-0.605	-8.602	4.08	NA	0.312805778776172	10	4	14	0.002333	48_48.61	40	48.938	-8.938	36	49	-13	11	0.176379792041019	-9.061	-22.166	4.043	-9.061	6.686	NA	1	450500	451500	protein_coding	+	info301	info301
Gene1311	0.0227756136607538	NA	-0.967	-7.376	5.443	3.27	0	0.382455886897145	0.536291809102829	-0.967	-7.376	5.443	3.27	0	0.382455886897145	0.536291809102829	0.0174919470701382	10	10	38	0.006333	48_48.61	50.346	48.445	1.901	50.5	48	2.5	26	0.604138297153768	-1.854	-8.853	5.146	-1.854	3.571	NA	0.413478528303603	10	4	14	0.002333	48_48.61	51.714	48.458	3.256	51.5	48	3.5	14	0.654830300970351	3.642	-12.308	19.592	3.642	8.138	NA	1	1965500	1966500	protein_coding	+	info1311	info1311
Gene1170	0.0228142003428168	NA	-5.267	-15.45	4.916	5.195	35.2022085	2.8740296914987	0.0900192181570202	-5.226	-11.232	0.78	3.064	35.2022085	2.8740296914987	0.0900192181570202	0.0100194770714529	10	8	25	0.004167	48_48.61	35.875	49.327	-13.452	24.5	49	-24.5	16	0.0168005536004638	-10.484	-19.029	-1.939	-10.484	4.36	NA	0.854498633957653	10	10	27	0.0045	48_48.61	47.222	48.699	-1.476	37.5	48	-10.5	18	0.982857327229509	-0.093	-8.536	8.351	-0.093	4.308	NA	1	1754000	1755000	non_coding	-	info1170	info1170
Gene524	0.0233668637719897	NA	5.806	-0.869	12.482	3.406	7.42565800000001	1.47048974402652	0.225268439027833	5.781	0.277	11.286	2.808	7.42565800000001	1.47048974402652	0.225268439027833	0.0797750811571514	10	9	34	0.005667	48_48.61	50.583	48.438	2.145	50.5	48	2.5	24	0.532637647947245	2.453	-5.243	10.149	2.453	3.927	NA	0.0796811827140442	10	9	36	0.006	48_48.61	58.84	47.68	11.16	57	46	11	25	0.0217984583010146	9.266	1.391	17.14	9.266	4.018	NA	1	785000	786000	non_coding	-	info524	info524
Gene1242	0.0234534281747496	NA	6.007	-2.425	14.438	4.302	21.2470035	2.32009318873468	0.127712374862098	5.469	0.043	10.894	2.768	21.2470035	2.32009318873468	0.127712374862098	0.0337169683919081	10	9	26	0.004333	48_48.61	61.211	47.758	13.453	69	47	22	19	0.0159580282702188	10.735	2.055	19.415	10.735	4.429	NA	0.124250120683219	10	10	51	0.0085	48_48.61	50.684	48.309	2.375	49.5	47.5	2	38	0.555522831765117	2.093	-4.858	9.044	2.093	3.546	NA	1	1862000	1863000	non_coding	-	info1242	info1242
Gene325	0.0235785632569746	NA	-2.532	-9.413	4.35	3.511	9.9938295	1.67521073248	0.195562050916542	-2.711	-8	2.578	2.699	9.9938295	1.67521073248	0.195562050916542	0.186225911667167	10	10	37	0.006167	48_48.61	40.87	49.253	-8.383	33	49	-16	23	0.10858173754487	-5.787	-12.834	1.26	-5.787	3.596	NA	0.0702218735795309	10	9	33	0.0055	48_48.61	47.783	48.679	-0.896	40	49	-9	23	0.758720315709437	1.255	-6.748	9.259	1.255	4.083	NA	1	486500	487500	protein_coding	+	info325	info325
Gene1214	0.023638295510736	NA	-3.344	-12.716	6.029	4.782	33.3769135	3.64343985144997	0.0562905197554512	-2.368	-7.094	2.359	2.412	33.3769135	3.64343985144997	0.0562905197554512	0.0492236953002552	10	9	25	0.004167	48_48.61	35.188	49.366	-14.179	24	48.5	-24.5	16	0.03515648465613	-8.509	-16.39	-0.629	-8.509	4.021	NA	0.0747438164700376	10	9	21	0.0035	48_48.61	49.75	48.579	1.171	42	48	-6	8	0.719643494861884	1.083	-4.825	6.99	1.083	3.014	NA	1	1820000	1821000	non_coding	-	info1214	info1214
Gene913	0.0259422981493139	NA	-1.447	-7.665	4.77	3.172	0	0.668514117852802	0.413570133267382	-1.447	-7.665	4.77	3.172	0	0.668514117852802	0.413570133267382	0.0198979323756121	10	8	19	0.003167	48_48.61	51.944	48.397	3.547	52	48	4	18	0.619773425502449	3.271	-9.636	16.178	3.271	6.585	NA	0.191764391500987	10	9	45	0.0075	48_48.61	45.857	48.974	-3.116	38	49	-11	35	0.428047045515537	-2.873	-9.967	4.222	-2.873	3.62	NA	1	1368500	1369500	protein_coding	+	info913	info913
Gene485	0.0268018960560685	NA	7.197	0.396	13.998	3.47	0	0.484020408095749	0.486606858550533	7.197	0.396	13.998	3.47	0	0.484020408095749	0.486606858550533	0.105235726664281	10	6	19	0.003167	48_48.61	58.8	48.074	10.726	65	47	18	15	0.072822464198078	10.42	-0.923	21.763	10.42	5.788	NA	0.153459023932649	10	6	28	0.004667	48_48.61	56.889	48.082	8.807	65	47	18	18	0.214756559783293	5.389	-3.107	13.886	5.389	4.335	NA	1	726500	727500	protein_coding	+	info485	info485
Gene662	0.0268369870627473	NA	-5.96	-12.596	0.675	3.386	0	0.0987494446745326	0.753335541779682	-5.96	-12.596	0.675	3.386	0	0.0987494446745326	0.753335541779682	0.0554272398757486	10	10	31	0.005167	48_48.61	41.68	49.24	-7.56	39	48	-9	25	0.129630222191742	-6.916	-15.835	2.003	-6.916	4.551	NA	0.119108560965901	10	7	12	0.002	48_48.61	32.857	48.986	-16.129	37	49	-12	7	0.346601738132072	-4.776	-14.706	5.154	-4.776	5.066	NA	1	992000	993000	non_coding	-	info662	info662
Gene554	0.0271772763281002	NA	3.735	-0.835	8.304	2.331	0	0.0111226725239261	0.916007569673581	3.735	-0.835	8.304	2.331	0	0.0111226725239261	0.916007569673581	0.0129134664259374	10	10	37	0.006167	48_48.61	58.05	47.936	10.114	63	46	17	20	0.191829848864276	3.935	-1.96	9.83	3.935	3.008	NA	0.773907335925469	10	10	47	0.007833	48_48.61	51.444	48.223	3.221	50.5	46.5	4	36	0.352760417395208	3.433	-3.796	10.662	3.433	3.689	NA	1	830000	831000	non_coding	-	info554	info554
Gene424	0.0277546367075786	NA	-4.274	-16.566	8.019	6.272	49.819132	2.68530680492873	0.101277717650273	-3.267	-10.554	4.02	3.718	49.819132	2.68530680492873	0.101277717650273	0.107439365919445	10	6	16	0.002667	48_48.61	36.917	49.097	-12.181	29	48.5	-19.5	12	0.0675917405442495	-11.171	-23.106	0.764	-11.171	6.09	NA	0.1613422192442	10	9	30	0.005	48_48.61	49.423	48.533	0.89	50	47.5	2.5	26	0.760954091469421	1.429	-7.771	10.63	1.429	4.694	NA	1	635000	636000	non_coding	-	info424	info424
Gene131	0.0284481356395369	NA	-4.627	-9.712	0.459	2.595	0	0.581581066273561	0.445693259903224	-4.627	-9.712	0.459	2.595	0	0.581581066273561	0.445693259903224	0.0913975524053513	10	8	41	0.006833	48_48.61	38.185	49.641	-11.456	33	49	-16	27	0.0653174074895314	-6.322	-13.019	0.376	-6.322	3.417	NA	0.227378161839012	10	9	37	0.006167	48_48.61	45	48.982	-3.982	46.5	48	-1.5	28	0.561736721162003	-2.317	-10.133	5.499	-2.317	3.988	NA	1	195500	196500	protein_coding	+	info131	info131
Gene481	0.0285267202597358	NA	-2.583	-8.329	3.163	2.932	1.560808	1.09756312222894	0.294801519742428	-2.541	-8.014	2.932	2.792	1.560808	1.09756312222894	0.294801519742428	0.25697537474397	10	8	17	0.002833	48_48.61	33.25	49.031	-15.781	35.5	48	-12.5	8	0.166258919393131	-5.975	-14.415	2.464	-5.975	4.306	NA	0.0511445895655754	10	10	42	0.007	48_48.61	50.9	48.356	2.544	54	46.5	7.5	30	0.989303379555223	-0.049	-7.238	7.14	-0.049	3.668	NA	1	720500	721500	protein_coding	+	info481	info481
Gene1047	0.0288155482084774	NA	5.443	-1.876	12.762	3.734	14.6924425	2.1130184618233	0.146050986838508	5.396	0.362	10.43	2.568	14.6924425	2.1130184618233	0.146050986838508	0.0250040267915586	10	10	30	0.005	48_48.61	69.941	47.329	22.613	71	46	25	17	0.0126922376160437	9.219	2.013	16.424	9.219	3.676	NA	0.0588979525930742	10	8	41	0.006833	48_48.61	50.571	48.408	2.163	53	46	7	28	0.626251557542982	1.75	-5.286	8.787	1.75	3.59	NA	1	1569500	1570500	protein_coding	+	info1047	info1047
Gene661	0.02891549586835	NA	5.87	0.836	10.903	2.568	0	0.0125583420837833	0.910772654384321	5.87	0.836	10.903	2.568	0	0.0125583420837833	0.910772654384321	0.0313531021329205	10	8	33	0.0055	48_48.61	66.364	47.934	18.429	65	47	18	11	0.0325504455027631	5.992	0.524	11.46	5.992	2.79	NA	0.508857997217509	10	5	15	0.0025	48_48.61	59.583	48.153	11.431	59.5	48	11.5	12	0.430111900711947	5.192	-7.688	18.072	5.192	6.571	NA	1	990500	991500	protein_coding	+	info661	info661
Gene94	0.0294766334708683	NA	-5.302	-11.279	0.675	3.049	0	0.325241093286727	0.568474833490638	-5.302	-11.279	0.675	3.049	0	0.325241093286727	0.568474833490638	0.0846382803520166	10	9	24	0.004	48_48.61	37	49.136	-12.136	19	48	-29	13	0.0928367079075911	-6.815	-14.736	1.107	-6.815	4.042	NA	0.144207187493303	10	7	24	0.004	48_48.61	44.529	48.855	-4.326	45	48	-3	17	0.477662479391408	-3.303	-12.408	5.802	-3.303	4.646	NA	1	140000	141000	non_coding	-	info94	info94
Gene456	0.0295298642907801	NA	-5.368	-12.591	1.854	3.685	10.9383585	1.47147637699736	0.225112899076799	-4.487	-9.47	0.496	2.542	10.9383585	1.47147637699736	0.225112899076799	0.0905491516003879	10	7	17	0.002833	48_48.61	34.667	49.344	-14.677	31	49	-18	15	0.0684212101040765	-11.368	-23.55	0.814	-11.368	6.216	NA	0.137238272358342	10	9	39	0.0065	48_48.61	44.895	48.861	-3.966	50	48	2	19	0.265995321197596	-3.105	-8.566	2.356	-3.105	2.786	NA	1	683000	684000	non_coding	-	info456	info456
Gene112	0.0310527023316444	NA	-3.991	-16.415	8.432	6.338	66.1940335	5.40977978126254	0.0200242419734292	-1.113	-5.583	3.357	2.28	66.1940335	5.40977978126254	0.0200242419734292	0.0558181799137797	10	10	27	0.0045	48_48.61	31.476	49.9	-18.423	25	49	-24	21	0.0232768342297613	-11.016	-20.483	-1.55	-11.016	4.83	NA	0.259470349025036	10	9	42	0.007	48_48.61	58.7	47.889	10.811	60.5	47.5	13	20	0.504718206509962	1.728	-3.343	6.798	1.728	2.587	NA	1	167000	168000	non_coding	-	info112	info112
Gene515	0.0321407346782848	NA	3.204	-11.682	18.091	7.595	99.917236	7.46044270839311	0.00630694940647258	3.527	-1.917	8.971	2.777	99.917236	7.46044270839311	0.00630694940647258	0.0102648209714995	10	10	38	0.006333	48_48.61	62.769	47.266	15.503	70	46	24	26	0.00539984720280074	10.75	3.233	18.268	10.75	3.835	NA	0.876111870097378	10	8	30	0.005	48_48.61	41.222	49.082	-7.859	39	48.5	-9.5	18	0.271149139368784	-4.441	-12.335	3.454	-4.441	4.028	NA	1	771500	772500	protein_coding	+	info515	info515
Gene366	0.0345953030735792	NA	1.645	-8.002	11.293	4.922	34.7117815	3.52264451436734	0.0605357850302258	1.416	-3.714	6.547	2.617	34.7117815	3.52264451436734	0.0605357850302258	0.117194506279259	10	10	32	0.005333	48_48.61	57.476	47.943	9.534	58	46	12	21	0.0829628755666469	6.659	-0.843	14.162	6.659	3.828	NA	0.192432173023101	10	9	31	0.005167	48_48.61	38.667	49.133	-10.467	32	49	-17	15	0.375096607155277	-3.187	-10.218	3.844	-3.187	3.587	NA	1	548000	549000	non_coding	-	info366	info366
Gene293	0.0347367068176239	NA	3.798	-6.993	14.589	5.506	38.59532	2.57999826793179	0.108221780481019	2.068	-3.851	7.987	3.02	38.59532	2.57999826793179	0.108221780481019	0.135789741304875	10	7	16	0.002667	48_48.61	58.583	48.194	10.389	58	47.5	10.5	12	0.0839828266127381	10.507	-1.37	22.384	10.507	6.06	NA	0.0254149882337062	10	10	41	0.006833	48_48.61	44.273	48.953	-4.681	45	48	-3	22	0.836394081560592	-0.72	-7.546	6.106	-0.72	3.483	NA	1	438500	439500	protein_coding	+	info293	info293
Gene540	0.0350958622279518	NA	1.234	-3.629	6.097	2.481	3.5147515	1.16310926051126	0.280821639298426	0.822	-2.77	4.414	1.833	3.5147515	1.16310926051126	0.280821639298426	0.377363599392859	10	8	15	0.0025	48_48.61	55.25	48.333	6.917	55	48	7	12	0.245991511708442	7.299	-5.008	19.607	7.299	6.279	NA	0.0652709457120308	10	10	50	0.008333	48_48.61	46.417	48.701	-2.285	38.5	48	-9.5	12	0.908891797135127	0.219	-3.536	3.975	0.219	1.916	NA	1	809000	810000	non_coding	-	info540	info540
