SetID	P.value	N.Marker.All	N.Marker.Test	MAC	m	Method.bin	MAP
Gene63	0.0809264916847821	10	10	24	19	ER.A	-1
Gene64	0.415488296203312	10	10	25	10	ER.A	-1
Gene65	0.691246550997228	10	9	32	19	ER.A	-1
Gene66	0.197415880287263	10	4	14	10	ER	0.000322537904259678
Gene67	0.142247065672815	10	7	19	13	ER	9.65944430437018e-06
Gene68	0.160114219447461	10	5	11	11	ER	0.000139128349067545
Gene69	0.814074586749536	10	9	23	18	ER.A	-1
Gene70	0.268983898008456	10	10	24	15	ER.A	-1
Gene71	0.869524859210095	10	9	22	15	ER.A	-1
Gene72	0.0136055127952939	10	7	15	12	ER	4.24241904893681e-05
Gene73	0.480227622536701	10	9	19	12	ER	3.2923414209322e-05
Gene74	0.956211765534956	10	8	22	19	ER.A	-1
Gene75	0.326610697473835	10	5	11	7	ER	0.00122638300692849
Gene76	0.560237513017418	10	8	21	18	ER.A	-1
Gene77	0.846220636010407	10	9	20	9	ER	0.000301133351146172
Gene78	0.872533803206926	10	10	16	9	ER	0.000241946827254801
Gene79	0.106840128559598	10	10	29	9	ER.A	-1
Gene80	0.886729293421095	10	6	11	9	ER	0.000179859168308691
Gene81	0.815543279085244	10	7	20	16	ER	5.54360671546219e-07
Gene82	0.174389595256875	10	6	18	13	ER	5.26991012848198e-06
Gene83	0.269673283878232	10	8	20	11	ER	0.000113306823384857
Gene84	0.963644439060202	10	4	15	9	ER	0.000510833424236594
Gene85	0.378295591357401	10	10	26	18	ER.A	-1
Gene86	0.680720055571633	10	6	17	9	ER	0.000314419652244462
Gene87	0.492477122164383	10	9	25	17	ER.A	-1
Gene88	0.450334959881248	10	10	28	18	ER.A	-1
Gene89	0.882680946600689	10	9	24	15	ER.A	-1
Gene90	0.379028533794636	10	7	21	14	ER.A	-1
Gene91	0.642165822355757	10	10	28	16	ER.A	-1
Gene92	0.788917889454807	10	8	19	10	ER	0.000185630300649193
Gene93	0.153776327965142	10	4	8	8	ER	0.00151430652738698
Gene94	0.687928489089412	10	7	15	11	ER	3.9455287836892e-05
Gene95	0.916905772520726	10	7	22	15	ER.A	-1
Gene96	0.778469948573985	10	10	36	17	ER.A	-1
Gene97	0.402999946635007	10	7	19	15	ER	6.33936878361982e-06
Gene98	0.840532954526868	10	8	11	5	ER	0.0109053920222572
Gene99	0.404891777702313	10	9	18	8	ER	0.00112250773953544
Gene100	0.446871568638919	10	6	17	8	ER	0.00110296666113705
Gene101	0.267471913977668	10	8	15	13	ER	2.18314645088827e-05
Gene102	0.543620657764733	10	4	4	2	ER	0.0857044504900776
Gene103	0.521263445491575	10	7	24	13	ER.A	-1
Gene104	0.0330510752646445	10	6	6	3	ER	0.0330510752646445
Gene105	0.128656769008932	10	10	35	20	ER.A	-1
Gene106	0.697159201293412	10	3	7	7	ER	0.0023157394896609
Gene107	0.437756368686526	10	8	24	13	ER.A	-1
Gene108	0.861584615015457	10	7	20	9	ER	0.000433047561053219
Gene109	0.692625866926596	10	9	27	20	ER.A	-1
Gene110	0.485507593286942	10	9	15	9	ER	0.000255213653736318
Gene111	0.423873664557609	10	6	16	10	ER	0.000186007956234778
Gene112	0.180587032896882	10	9	26	14	ER.A	-1
Gene113	0.484577325088684	10	9	27	21	ER.A	-1
Gene114	0.347095230468769	10	6	20	16	ER	2.8902511594436e-06
Gene115	0.874096110834357	10	7	12	11	ER	3.31293380713269e-05
Gene116	0.266855541005185	10	8	21	20	ER.A	-1
Gene117	0.342881788879295	10	8	17	12	ER	3.39433063976045e-05
Gene118	0.796973266908028	10	10	24	13	ER.A	-1
Gene119	0.928545135277553	10	9	19	11	ER	9.35383884782206e-05
Gene120	0.814447003440307	10	8	17	14	ER	9.77088156887238e-06
Gene121	0.611399156333592	10	8	25	20	ER.A	-1
Gene122	0.582916297363457	10	7	21	9	ER.A	-1
Gene123	0.719549952890474	10	5	9	6	ER	0.0047969336149804
Gene124	0.641318613464757	10	9	27	12	ER.A	-1
Gene125	0.862191810970575	10	10	27	13	ER.A	-1
Gene126	0.213929209052931	10	6	12	4	ER	0.0150906777853704
Gene127	0.441797644419051	10	9	19	11	ER	0.000105577508431071
Gene128	0.0183395030588144	10	8	17	11	ER	9.09862663852558e-05
Gene129	0.549134193372042	10	10	21	13	ER.A	-1
Gene130	0.324588819577047	10	6	11	6	ER	0.00627952454195992
Gene131	0.478332799334996	10	9	23	18	ER.A	-1
Gene132	0.853800355668712	10	7	18	13	ER	1.723356523794e-05
Gene133	0.405844144098644	10	10	29	25	ER.A	-1
Gene134	0.265987535945876	10	9	21	14	ER.A	-1
Gene135	0.0611441858647755	10	8	21	13	ER.A	-1
Gene136	0.0694047091306076	10	10	38	20	ER.A	-1
Gene137	0.137734358652393	10	9	19	10	ER	0.000228011002601201
Gene138	0.039012821728551	10	10	24	15	ER.A	-1
Gene139	0.34122512447842	10	6	9	7	ER	0.0023910423203501
Gene140	0.356211218106208	10	9	25	11	ER.A	-1
Gene141	0.948861240393575	10	9	21	19	ER.A	-1
Gene142	0.857843425837804	10	10	26	23	ER.A	-1
Gene143	0.598037521032259	10	9	25	19	ER.A	-1
Gene144	0.245873659003916	10	6	13	7	ER	0.00160383657744906
Gene145	0.193323968990916	10	4	7	7	ER	0.00235832973489624
Gene146	0.303414019620073	10	7	17	12	ER	3.84088482195872e-05
Gene147	0.433011438370711	10	10	27	20	ER.A	-1
Gene148	0.257968645797218	10	8	19	17	ER	8.85384495526809e-07
Gene149	0.403156212132479	10	9	17	13	ER	1.30330721158574e-05
Gene150	0.738513218328511	10	10	25	22	ER.A	-1
Gene151	0.54487784312771	10	9	24	18	ER.A	-1
Gene152	0.412289935772055	10	10	19	8	ER	0.000745761899368809
Gene153	0.388751366003113	10	10	25	20	ER.A	-1
Gene154	0.103731198738347	10	8	19	14	ER	5.90528577140803e-06
Gene155	0.756465046180516	10	9	23	9	ER.A	-1
Gene156	0.952996971891368	10	6	20	10	ER	0.000204832026814888
Gene157	0.287491040405943	10	2	2	2	ER	0.0876761830985696
Gene158	0.0108701058334427	10	8	24	13	ER.A	-1
Gene159	0.110408803185793	10	8	21	14	ER.A	-1
Gene160	0.155626271419793	10	10	29	22	ER.A	-1
Gene161	0.0749303556511968	10	6	14	14	ER	1.25626868603438e-05
Gene162	0.142676654323618	10	9	16	9	ER	0.000313409482575842
Gene163	0.431448324087975	10	7	19	15	ER	2.78912643737442e-06
Gene164	0.0741613907696976	10	7	20	17	ER	2.36760798357316e-07
Gene165	0.744067152648907	10	9	21	8	ER.A	-1
Gene166	0.413742995217831	10	6	15	9	ER	0.000534837156581307
Gene167	0.343904776235877	10	10	30	16	ER.A	-1
Gene168	0.266970371593208	10	8	26	24	ER.A	-1
Gene169	0.745694485341261	10	2	4	2	ER	0.121293804107248
Gene170	0.327609510047691	10	9	24	10	ER.A	-1
Gene171	0.713434068347926	10	8	17	13	ER	1.21462900183164e-05
Gene172	0.0900202946443498	10	8	21	15	ER.A	-1
Gene173	0.390280900784171	10	3	7	7	ER	0.00140648690670113
Gene174	0.501068917889768	10	6	17	10	ER	0.000138580858359254
Gene175	0.951426345440111	10	8	23	18	ER.A	-1
Gene176	0.449078584157068	10	10	32	14	ER.A	-1
Gene177	0.0603920075445248	10	10	29	18	ER.A	-1
Gene178	0.056343536737978	10	8	20	11	ER	0.000103530410442023
Gene179	0.580406900250082	10	10	19	11	ER	6.01870364642015e-05
Gene180	0.431597399785447	10	5	13	9	ER	0.000290919785972587
Gene181	0.887818416591276	10	10	19	10	ER	0.000373706552327361
Gene182	0.0546766882493303	10	9	26	20	ER.A	-1
Gene183	0.5702032554127	10	10	25	17	ER.A	-1
Gene184	0.264769979254066	10	8	17	10	ER	0.000326748914675248
Gene185	0.548494047536894	10	10	34	19	ER.A	-1
Gene186	0.521703067236018	10	10	29	22	ER.A	-1
Gene187	0.258542986198794	10	6	9	7	ER	0.00288815372896817
Gene188	0.622586972577488	10	7	16	16	ER	2.10193539204067e-06
Gene189	0.566050933325826	10	10	33	18	ER.A	-1
Gene190	0.735999964187638	10	8	21	16	ER.A	-1
Gene191	0.327052665968856	10	4	10	9	ER	0.000629162467795355
Gene192	0.670593094453644	10	4	5	4	ER	0.027104736951269
Gene193	0.905918108274295	10	8	18	9	ER	0.00043215230319293
Gene194	0.725546445622718	10	9	26	11	ER.A	-1
Gene195	0.616608302648924	10	8	21	13	ER.A	-1
Gene196	0.844809130051231	10	6	15	15	ER	6.5940182894271e-06
Gene197	0.0432707982117729	10	9	18	13	ER	2.96625031813043e-05
Gene198	0.37866641640373	10	10	27	21	ER.A	-1
Gene199	0.174769822428311	10	9	26	11	ER.A	-1
Gene200	0.810561350952697	10	9	26	16	ER.A	-1
Gene201	0.00869022837868159	10	10	24	16	ER.A	-1
Gene202	0.15608263560813	10	9	23	14	ER.A	-1
Gene203	0.433795304874449	10	9	18	13	ER	3.59789819482341e-05
Gene204	0.55438138372561	10	10	19	8	ER	0.000911463345531189
Gene205	0.640710551926766	10	9	13	11	ER	0.000128082387560262
Gene206	0.352472718619227	10	9	28	18	ER.A	-1
Gene207	0.415516499920765	10	8	26	17	ER.A	-1
Gene208	0.995074466573916	10	10	32	18	ER.A	-1
Gene209	0.862279477698613	10	7	22	14	ER.A	-1
Gene210	0.59373376508187	10	5	9	6	ER	0.00498613069860563
Gene211	0.353488722896768	10	9	23	13	ER.A	-1
Gene212	0.982161155806557	10	5	16	13	ER	1.46230970326931e-05
Gene213	0.750985740985209	10	8	20	14	ER	6.68878134393174e-06
Gene214	0.17158674483999	10	5	14	11	ER	4.89849178064649e-05
Gene215	0.156658895933662	10	10	32	17	ER.A	-1
Gene216	0.444977274654201	10	9	19	13	ER	1.71013984147298e-05
Gene217	0.250251983431074	10	7	11	6	ER	0.00410093351418646
Gene218	0.922007786078047	10	3	11	11	ER	0.000119130034226028
Gene219	0.10618428345776	10	9	24	22	ER.A	-1
Gene220	0.914528134118416	10	7	12	4	ER	0.0176603377077922
Gene221	0.838306433683481	10	10	22	12	ER.A	-1
Gene222	0.880618934463295	10	4	13	5	ER	0.00764444545877858
Gene223	0.482092964861713	10	9	21	15	ER.A	-1
Gene224	0.588764498526344	10	7	13	4	ER	0.0178812940129821
Gene225	0.177908198996234	10	6	15	11	ER	7.73748852307017e-05
Gene226	0.284986184005731	10	8	17	6	ER	0.00594464299540671
Gene227	0.804529055697529	10	8	21	14	ER.A	-1
Gene228	0.231760671132263	10	10	27	15	ER.A	-1
Gene229	0.272654605214514	10	2	6	6	ER	0.00370294368174723
Gene230	0.846104577001467	10	10	20	11	ER	5.22388523553868e-05
Gene231	0.0756571989464765	10	6	14	6	ER	0.00354799956407052
Gene232	0.896088072401018	10	6	15	11	ER	0.00012898167377948
Gene233	0.570054453990108	10	9	24	11	ER.A	-1
Gene234	0.991115397395197	10	9	23	16	ER.A	-1
Gene235	0.815771136614275	10	5	9	5	ER	0.0107745717198215
Gene236	0.959993434274924	10	6	16	10	ER	0.000147955521250792
Gene237	0.949057298634189	10	4	11	7	ER	0.00162809705067068
Gene238	0.153790173296806	10	10	21	9	ER.A	-1
Gene239	0.35837075684452	10	9	23	14	ER.A	-1
Gene240	0.18997171876685	10	5	11	9	ER	0.000449131855305709
Gene241	0.282913131347712	10	8	13	7	ER	0.00200241649257114
Gene242	0.643111079233062	10	10	13	7	ER	0.00156669642692702
Gene243	0.220079014325549	10	10	24	14	ER.A	-1
Gene244	0.77827809328751	10	8	16	13	ER	1.6773751827806e-05
Gene245	0.0879754120521829	10	9	22	11	ER.A	-1
Gene246	0.296726537377602	10	9	22	20	ER.A	-1
Gene247	0.497297548857702	10	9	19	11	ER	7.40239653923983e-05
Gene248	0.705537170866957	10	10	30	23	ER.A	-1
Gene249	0.171410450798867	10	7	20	14	ER	5.32732757264459e-06
Gene250	0.349376259350904	10	9	26	18	ER.A	-1
Gene251	0.238080697594861	10	8	22	13	ER.A	-1
Gene252	0.995945709588174	10	9	24	15	ER.A	-1
Gene253	0.674344938461703	10	9	23	10	ER.A	-1
Gene254	0.681251325936995	10	10	30	25	ER.A	-1
Gene255	0.745411287116297	10	10	26	13	ER.A	-1
Gene256	0.841383157740991	10	8	22	12	ER.A	-1
Gene257	0.590568684664238	10	10	24	16	ER.A	-1
Gene258	0.564057501074248	10	10	23	15	ER.A	-1
Gene259	0.536679567684074	10	7	16	13	ER	2.03017804735614e-05
Gene260	0.919932112715769	10	7	11	8	ER	0.0012144091947295
Gene261	0.131696261260278	10	9	18	13	ER	1.42851701931935e-05
Gene262	0.706483712332378	10	7	18	10	ER	0.000235310667889357
Gene263	0.924128388466453	10	10	29	10	ER.A	-1
Gene264	0.0693317446518107	10	9	29	23	ER.A	-1
Gene265	0.935588973306343	10	9	15	11	ER	9.21514277895635e-05
Gene266	0.255635324352111	10	7	16	11	ER	0.000177817825808178
Gene267	0.674050905004799	10	9	17	11	ER	4.11875623264366e-05
Gene268	0.564471131539608	10	9	25	19	ER.A	-1
Gene269	0.0502608148819644	10	9	24	19	ER.A	-1
Gene270	0.202543797055503	10	7	21	14	ER.A	-1
Gene271	0.445170841208416	10	10	24	14	ER.A	-1
Gene272	0.750353090938519	10	8	26	15	ER.A	-1
Gene273	0.290086396619892	10	10	17	9	ER	0.000898252168901695
Gene274	0.88124863063088	10	6	11	10	ER	0.000190375362877566
Gene275	0.622550343914206	10	3	9	7	ER	0.00112639110525385
Gene276	0.123639494641435	10	7	16	10	ER	0.000416524630715887
Gene277	0.770859885631834	10	10	27	16	ER.A	-1
Gene278	0.993691865497605	10	8	23	18	ER.A	-1
Gene279	0.949128256664051	10	9	24	18	ER.A	-1
Gene280	0.754489682429751	10	5	15	13	ER	3.01946546632411e-05
Gene281	0.179548676346594	10	10	17	7	ER	0.00228107632852046
Gene282	0.081504983146094	10	7	12	6	ER	0.00625733363617377
Gene283	0.171137794869234	10	10	27	13	ER.A	-1
Gene284	0.706355405401385	10	7	15	11	ER	7.16806048869598e-05
Gene285	0.830303286760424	10	10	28	20	ER.A	-1
Gene286	0.294641511118719	10	7	23	17	ER.A	-1
Gene287	0.365368756463621	10	7	18	13	ER	3.96583532114e-05
Gene288	0.478644346454385	10	10	26	18	ER.A	-1
Gene289	0.369231208030596	10	10	22	16	ER.A	-1
Gene290	0.358771473658487	10	5	8	5	ER	0.00760442781988848
Gene291	0.691274848671892	10	6	14	12	ER	8.24990073513682e-05
Gene292	0.484288568228203	10	2	8	4	ER	0.0257130656635647
Gene293	0.77965286680137	10	10	24	13	ER.A	-1
Gene294	0.197328271992081	10	9	23	12	ER.A	-1
Gene295	0.239065106358168	10	10	19	14	ER	4.14381213994724e-06
Gene296	0.772817963489195	10	10	26	21	ER.A	-1
Gene297	0.130420067903408	10	4	11	7	ER	0.00240756467737765
Gene298	0.711231413402904	10	8	15	12	ER	2.63724329966812e-05
Gene299	0.745083907247368	10	7	21	10	ER.A	-1
Gene300	0.233404864048295	10	7	13	7	ER	0.00234410992741884
Gene301	0.125879738102261	10	4	10	8	ER	0.000741754708054574
Gene302	0.64149555246581	10	10	17	7	ER	0.00216232902210955
Gene303	0.0993361177164604	10	6	20	14	ER	4.92041325542005e-06
Gene304	0.617849208791369	10	6	9	7	ER	0.00253804643496808
Gene305	0.183947316706491	10	3	8	6	ER	0.00373851174651202
Gene306	0.307544832332805	10	10	25	11	ER.A	-1
Gene307	0.869586557889856	10	8	20	13	ER	1.72525610369092e-05
Gene308	0.253301615287486	10	6	17	13	ER	1.17060863987384e-05
Gene309	0.108691818722199	10	6	12	8	ER	0.00112050334725256
Gene310	0.296643876894594	10	9	17	11	ER	0.000102895561100792
Gene311	0.121600307642756	10	10	27	18	ER.A	-1
Gene312	0.401248694443064	10	9	20	12	ER	2.89373983125202e-05
Gene313	0.354350520517402	10	8	10	5	ER	0.0122022661567303
Gene314	0.149168653531508	10	10	23	8	ER.A	-1
Gene315	0.255436282777307	10	8	16	13	ER	2.82833264020179e-05
Gene316	0.929621732697193	10	10	38	29	ER.A	-1
Gene317	0.463242743270363	10	5	19	7	ER	0.00374006897973103
Gene318	0.554055856563657	10	5	8	7	ER	0.00344334470980854
Gene319	0.260652667965418	10	10	30	19	ER.A	-1
Gene320	0.0769862592153378	10	10	31	10	ER.A	-1
Gene321	0.745585341611951	10	10	19	13	ER	8.63697846693981e-06
Gene322	0.560109789609806	10	8	19	15	ER	3.47093781297215e-06
Gene323	0.742913391159619	10	7	25	13	ER.A	-1
Gene324	0.167124912480799	10	7	14	10	ER	0.000376763836416805
Gene325	0.381241612848703	10	9	24	16	ER.A	-1
Gene326	0.644376728229603	10	9	25	19	ER.A	-1
Gene327	0.802616973577668	10	6	20	18	ER	5.56528820592407e-07
Gene328	0.0712114861191112	10	5	17	11	ER	0.000149526117743228
Gene329	0.616861410083091	10	9	18	17	ER	7.25749241510356e-07
Gene330	0.348272310755033	10	7	18	17	ER	6.88984392538138e-07
Gene331	0.592268547790311	10	7	21	16	ER.A	-1
Gene332	0.30285649781148	10	7	27	19	ER.A	-1
Gene333	0.363402182359864	10	10	32	21	ER.A	-1
Gene334	0.704276822966464	10	10	28	14	ER.A	-1
Gene335	0.412196041617523	10	6	12	10	ER	0.000430678509575963
Gene336	0.111208426053208	10	6	6	3	ER	0.0306784120821963
Gene337	0.98708622821555	10	8	15	9	ER	0.000356159108441581
Gene338	0.313201295331541	10	8	21	16	ER.A	-1
Gene339	0.682611498426167	10	6	17	14	ER	1.32629981658212e-05
Gene340	0.736789365430366	10	7	15	12	ER	6.48651172139486e-05
Gene341	0.718474590546337	10	4	7	5	ER	0.00728671055823914
Gene342	0.510310593833758	10	9	15	8	ER	0.000791227439945858
Gene343	0.397602630862835	10	6	18	8	ER	0.000954540293092487
Gene344	0.554584180749871	10	10	13	7	ER	0.00306065695738141
Gene345	0.500329545325313	10	5	6	5	ER	0.0112649194179974
Gene346	0.167599366991886	10	10	26	14	ER.A	-1
Gene347	0.729958101162182	10	9	23	18	ER.A	-1
Gene348	0.889433021764746	10	7	19	7	ER	0.0028817696897025
Gene349	0.807376290141353	10	8	17	11	ER	9.28411618287377e-05
Gene350	0.570960589890842	10	8	25	19	ER.A	-1
Gene351	0.793971928179336	10	6	15	13	ER	8.66781445223354e-06
Gene352	0.272809613948835	10	10	24	18	ER.A	-1
Gene353	0.7633477948824	10	10	20	10	ER	0.000153317568543001
Gene354	0.83949509357373	10	7	21	11	ER.A	-1
Gene355	0.707454163206978	10	5	5	1	ER	0.207454163206978
Gene356	0.36893552153629	10	7	23	16	ER.A	-1
Gene357	0.0152569332451402	10	9	10	4	ER	0.0152569332451402
Gene358	0.605027875951059	10	6	18	14	ER	1.10832759668878e-05
Gene359	0.617845759080909	10	9	21	15	ER.A	-1
Gene360	0.435022008802609	10	9	13	10	ER	0.000288721766044701
Gene361	0.515561597568312	10	10	19	10	ER	0.000100101815904376
Gene362	0.215630773800173	10	5	6	4	ER	0.0257485513939176
Gene363	0.828300931311201	10	10	38	17	ER.A	-1
Gene364	0.0345452581722014	10	7	12	10	ER	0.000297779211317648
Gene365	0.550813833422062	10	10	29	17	ER.A	-1
Gene366	0.0320679185927742	10	9	21	10	ER.A	-1
Gene367	0.950027082835326	10	8	25	15	ER.A	-1
Gene368	0.0336179371910036	10	9	30	17	ER.A	-1
Gene369	0.752194577505806	10	9	21	8	ER.A	-1
Gene370	0.529305030248377	10	7	12	6	ER	0.00259376003249844
Gene371	0.118797862131216	10	9	22	13	ER.A	-1
Gene372	0.0857801811668676	10	9	23	14	ER.A	-1
Gene373	0.415379664301558	10	8	25	19	ER.A	-1
Gene374	0.568790690245205	10	10	32	21	ER.A	-1
Gene375	0.665648238379583	10	9	21	16	ER.A	-1
Gene376	0.149476992406088	10	8	15	11	ER	0.000110138004299182
Gene377	0.764407205259033	10	4	9	9	ER	0.000608809662820569
Gene378	0.511467684952011	10	8	20	14	ER	3.06112414080462e-06
Gene379	0.605009272560379	10	9	21	15	ER.A	-1
Gene380	0.777793827042335	10	8	19	11	ER	6.99181495925936e-05
Gene381	0.842680337984177	10	9	22	14	ER.A	-1
Gene382	0.367303589374175	10	8	18	12	ER	1.83028144137671e-05
Gene383	0.15980011991071	10	10	24	19	ER.A	-1
Gene384	0.472212663914183	10	6	14	14	ER	4.49536087659137e-06
Gene385	0.417235985433996	10	9	28	16	ER.A	-1
Gene386	0.439235387461869	10	9	27	22	ER.A	-1
Gene387	0.677988859541291	10	10	27	16	ER.A	-1
Gene388	0.408072863898755	10	8	20	17	ER	7.31204136658728e-07
Gene389	0.139066773476416	10	8	22	21	ER.A	-1
Gene390	0.3056159720126	10	5	10	9	ER	0.000554405785548013
Gene391	0.645301909460492	10	10	20	11	ER	0.000223014130135101
Gene392	0.388325647423564	10	6	16	6	ER	0.00584480598686708
Gene393	0.931958962286739	10	8	19	14	ER	1.85009687333016e-06
Gene394	0.59640411083521	10	4	10	10	ER	0.000197344363644298
Gene395	0.364606820267162	10	8	19	13	ER	1.58648196093414e-05
Gene396	0.844905496542318	10	10	30	18	ER.A	-1
Gene397	0.706368991796392	10	10	28	19	ER.A	-1
Gene398	0.768526982813088	10	8	19	13	ER	3.42756659163503e-05
Gene399	0.758654852416347	10	6	18	9	ER	0.000629467528929492
Gene400	0.0450756032349367	10	9	15	12	ER	5.59896498627774e-05
Gene401	0.60930450173332	10	7	17	16	ER	3.05133010677563e-06
Gene402	0.717633303630387	10	8	24	24	ER.A	-1
Gene403	0.856045074320391	10	10	26	13	ER.A	-1
Gene404	0.506673836759048	10	3	4	3	ER	0.0449618420397297
Gene405	0.823930767743748	10	5	15	10	ER	0.000271746279053726
Gene406	0.569323198047061	10	8	24	16	ER.A	-1
Gene407	0.0339695324704753	10	10	24	11	ER.A	-1
Gene408	0.0271144785229572	10	9	15	11	ER	0.000125492328626712
Gene409	0.880407318232859	10	10	24	15	ER.A	-1
Gene410	0.774648841502563	10	7	20	15	ER	2.10960815578519e-06
Gene411	0.606055602750578	10	10	26	14	ER.A	-1
Gene412	0.98094383840096	10	10	26	23	ER.A	-1
Gene413	0.00778068624919404	10	5	14	7	ER	0.00101892929331627
Gene414	0.47235373449525	10	10	27	16	ER.A	-1
Gene415	0.799855730512297	10	10	30	14	ER.A	-1
Gene416	0.93835684397378	10	8	21	17	ER.A	-1
Gene417	0.659830990915374	10	9	19	10	ER	0.000470646394173758
Gene418	0.00139645795069319	10	10	23	9	ER.A	-1
Gene419	0.0688308077149891	10	9	19	13	ER	1.34458281425622e-05
Gene420	0.955360532810792	10	7	18	9	ER	0.000347208283459985
Gene421	0.626355283553475	10	8	21	17	ER.A	-1
Gene422	0.539722167563013	10	8	14	11	ER	3.11552919884577e-05
Gene423	0.810512929188903	10	9	30	19	ER.A	-1
Gene424	0.103096438951718	10	9	19	17	ER	3.25000616060059e-07
Gene425	0.854579752402649	10	5	13	10	ER	0.000245292282732934
Gene426	0.68443354489408	10	7	25	21	ER.A	-1
Gene427	0.589697697445226	10	6	17	14	ER	9.67576091975285e-06
Gene428	0.84675364155445	10	7	21	14	ER.A	-1
Gene429	0.853424813714159	10	9	25	14	ER.A	-1
Gene430	0.791694278159224	10	10	24	20	ER.A	-1
Gene431	0.0721662872564807	10	10	25	12	ER.A	-1
Gene432	0.324435559228387	10	10	25	23	ER.A	-1
Gene433	0.521430579346651	10	9	32	17	ER.A	-1
Gene434	0.581560025519937	10	10	27	5	ER.A	-1
Gene435	0.349276921105104	10	9	25	19	ER.A	-1
Gene436	0.316733264775693	10	10	24	16	ER.A	-1
Gene437	0.773013460886878	10	8	24	20	ER.A	-1
Gene438	0.299120339995327	10	10	27	13	ER.A	-1
Gene439	0.264072163740906	10	9	16	11	ER	0.000115542813208294
Gene440	0.482036097348425	10	7	16	13	ER	1.65819253393675e-05
