SetID	P.value	N.Marker.All	N.Marker.Test	cMAC	cMAF	medANDav_Pheno	Carriers_AvPheno	nonCarriers_AvPheno	AvDiff_Pheno	Carriers_medianPheno	nonCarriers_medianPheno	medianDiff_Pheno	no_of_carriers	P_regression	BETA_noOfMutations	BETA_L95	BETA_U95	eff_estimate	eff_stdErr	chr	start	end	gene_type	strand	additional_info1	additional_info2	exome_wide_check
Gene1088	0.00984510618190304	10	8	30	0.005	48_48.61	52.85	48.307	4.543	56	48	8	20	0.837111954815113	-0.868	-9.134	7.398	-0.868	4.218	1	1631000	1632000	non_coding	-	info1088	info1088	NA
Gene1170	0.0100194770714529	10	8	25	0.004167	48_48.61	35.875	49.327	-13.452	24.5	49	-24.5	16	0.0168005536004638	-10.484	-19.029	-1.939	-10.484	4.36	1	1754000	1755000	non_coding	-	info1170	info1170	NA
Gene515	0.0102648209714995	10	10	38	0.006333	48_48.61	62.769	47.266	15.503	70	46	24	26	0.00539984720280074	10.75	3.233	18.268	10.75	3.835	1	771500	772500	protein_coding	+	info515	info515	NA
Gene677	0.0121058227256446	10	7	35	0.005833	48_48.61	62.367	47.081	15.285	61	45.5	15.5	30	0.00676624024851003	12.346	3.474	21.218	12.346	4.527	1	1014500	1015500	protein_coding	+	info677	info677	NA
Gene395	0.0126636938659218	10	8	33	0.0055	48_48.61	67.6	47.611	19.989	71	46	25	15	0.0102887436613809	7.267	1.752	12.783	7.267	2.814	1	591500	592500	protein_coding	+	info395	info395	NA
Gene554	0.0129134664259374	10	10	37	0.006167	48_48.61	58.05	47.936	10.114	63	46	17	20	0.191829848864276	3.935	-1.96	9.83	3.935	3.008	1	830000	831000	non_coding	-	info554	info554	NA
Gene1145	0.0148025772387488	10	10	28	0.004667	48_48.61	31.526	49.765	-18.239	31	49	-18	19	0.00987395390116894	-11.441	-20.075	-2.807	-11.441	4.405	1	1716500	1717500	protein_coding	+	info1145	info1145	NA
Gene86	0.0157193611289091	10	7	23	0.003833	48_48.61	65.722	47.518	18.204	74.5	46	28.5	18	0.00857585349620565	13.759	3.569	23.95	13.759	5.199	1	128000	129000	non_coding	-	info86	info86	NA
Gene385	0.0158363410893325	10	9	30	0.005	48_48.61	71.706	47.223	24.483	79	46	33	17	0.00940386017899792	8.904	2.228	15.58	8.904	3.406	1	576500	577500	protein_coding	+	info385	info385	NA
Gene447	0.0164133308836827	10	8	20	0.003333	48_48.61	64.4	47.779	16.621	77	47	30	15	0.00836690187935013	13.979	3.659	24.299	13.979	5.265	1	669500	670500	protein_coding	+	info447	info447	NA
Gene580	0.0166559322692056	10	10	47	0.007833	48_48.61	39.958	49.362	-9.404	28.5	49	-20.5	24	0.0284274346882153	-6.628	-12.527	-0.729	-6.628	3.01	1	869000	870000	non_coding	-	info580	info580	NA
Gene282	0.0166688022498311	10	7	22	0.003667	48_48.61	27.533	49.719	-22.186	22	49	-27	15	0.0119741246344577	-11.541	-20.487	-2.596	-11.541	4.564	1	422000	423000	non_coding	-	info282	info282	NA
Gene759	0.0171949256182231	10	7	15	0.0025	48_48.61	23.3	49.483	-26.183	16	49	-33	10	0.00800957073879855	-14.067	-24.393	-3.74	-14.067	5.269	1	1137500	1138500	protein_coding	+	info759	info759	NA
Gene1311	0.0174919470701382	10	10	38	0.006333	48_48.61	50.346	48.445	1.901	50.5	48	2.5	26	0.604138297153768	-1.854	-8.853	5.146	-1.854	3.571	1	1965500	1966500	protein_coding	+	info1311	info1311	NA
Gene501	0.0187041327435329	10	10	33	0.0055	48_48.61	35.542	49.746	-14.205	28.5	49.5	-21	24	0.0114154206123717	-10.719	-18.971	-2.466	-10.719	4.21	1	750500	751500	protein_coding	+	info501	info501	NA
Gene1295	0.0190243170064491	10	9	50	0.008333	48_48.61	47.658	48.748	-1.09	51	47.5	3.5	38	0.143724998004123	-4.958	-11.588	1.671	-4.958	3.382	1	1941500	1942500	protein_coding	+	info1295	info1295	NA
Gene653	0.0195148182460245	10	6	14	0.002333	48_48.61	67.143	48.167	18.976	80	47	33	7	0.0226436450149951	11.537	1.669	21.405	11.537	5.035	1	978500	979500	protein_coding	+	info653	info653	NA
Gene913	0.0198979323756121	10	8	19	0.003167	48_48.61	51.944	48.397	3.547	52	48	4	18	0.619773425502449	3.271	-9.636	16.178	3.271	6.585	1	1368500	1369500	protein_coding	+	info913	info913	NA
Gene135	0.0203677910872568	10	10	23	0.003833	48_48.61	63	47.906	15.094	63.5	47	16.5	14	0.0130985391723034	9.95	2.138	17.763	9.95	3.986	1	201500	202500	protein_coding	+	info135	info135	NA
Gene528	0.0221944167175951	10	8	30	0.005	48_48.61	64.471	47.657	16.813	71	47	24	17	0.0172913428957681	8.414	1.526	15.303	8.414	3.515	1	791000	792000	non_coding	-	info528	info528	NA
Gene1129	0.0230801915396778	10	8	25	0.004167	48_48.61	42	49.159	-7.159	31	49	-18	23	0.300258428425129	-5.871	-16.958	5.217	-5.871	5.657	1	1692500	1693500	protein_coding	+	info1129	info1129	NA
Gene741	0.0236810891588124	10	10	55	0.009167	48_48.61	39.75	49.243	-9.493	29.5	49	-19.5	20	0.0167077069388467	-4.842	-8.784	-0.899	-4.842	2.012	1	1110500	1111500	protein_coding	+	info741	info741	NA
Gene1047	0.0250040267915586	10	10	30	0.005	48_48.61	69.941	47.329	22.613	71	46	25	17	0.0126922376160437	9.219	2.013	16.424	9.219	3.676	1	1569500	1570500	protein_coding	+	info1047	info1047	NA
Gene1021	0.0253121378034638	10	10	42	0.007	48_48.61	37.857	49.419	-11.562	23	48	-25	21	0.0166369416391918	-6.496	-11.782	-1.21	-6.496	2.697	1	1530500	1531500	protein_coding	+	info1021	info1021	NA
Gene596	0.0267471663640647	10	9	21	0.0035	48_48.61	59.75	48.305	11.445	67	48	19	8	0.0242205256113787	6.431	0.867	11.995	6.431	2.839	1	893000	894000	non_coding	-	info596	info596	NA
Gene576	0.0272391001049805	10	10	40	0.006667	48_48.61	54.903	47.885	7.018	48	48	0	31	0.25410892595956	4.659	-3.332	12.65	4.659	4.077	1	863000	864000	non_coding	-	info576	info576	NA
Gene855	0.0274702012829986	10	10	25	0.004167	48_48.61	28.933	49.646	-20.712	16	49	-33	15	0.0191137083271539	-9.412	-17.241	-1.583	-9.412	3.994	1	1281500	1282500	protein_coding	+	info855	info855	NA
Gene1132	0.0276321217556486	10	8	22	0.003667	48_48.61	35.667	49.149	-13.483	39	48.5	-9.5	12	0.0169547425410755	-9.887	-17.957	-1.817	-9.887	4.117	1	1697000	1698000	non_coding	-	info1132	info1132	NA
Gene1207	0.0288300302604864	10	9	32	0.005333	48_48.61	36.833	49.362	-12.528	30.5	49	-18.5	18	0.0219225195299477	-8.092	-14.976	-1.208	-8.092	3.512	1	1809500	1810500	protein_coding	+	info1207	info1207	NA
Gene729	0.0292358402239554	10	8	25	0.004167	48_48.61	32.3	49.775	-17.475	28	49	-21	20	0.015793570745029	-12.331	-22.285	-2.376	-12.331	5.079	1	1092500	1093500	protein_coding	+	info729	info729	NA
Gene656	0.029903954125078	10	10	27	0.0045	48_48.61	38	49.014	-11.014	36	48	-12	11	0.0395626663213288	-5.972	-11.634	-0.311	-5.972	2.889	1	983000	984000	non_coding	-	info656	info656	NA
Gene614	0.0309734075655868	10	6	19	0.003167	48_48.61	41.5	48.958	-7.458	31.5	48	-16.5	14	0.390387658575038	-4.795	-15.72	6.13	-4.795	5.574	1	920000	921000	non_coding	-	info614	info614	NA
Gene661	0.0313531021329205	10	8	33	0.0055	48_48.61	66.364	47.934	18.429	65	47	18	11	0.0325504455027631	5.992	0.524	11.46	5.992	2.79	1	990500	991500	protein_coding	+	info661	info661	NA
Gene697	0.0314853359076895	10	10	41	0.006833	48_48.61	48.381	48.627	-0.246	49	48	1	21	0.117008399078258	3.957	-0.976	8.891	3.957	2.517	1	1044500	1045500	protein_coding	+	info697	info697	NA
Gene1242	0.0337169683919081	10	9	26	0.004333	48_48.61	61.211	47.758	13.453	69	47	22	19	0.0159580282702188	10.735	2.055	19.415	10.735	4.429	1	1862000	1863000	non_coding	-	info1242	info1242	NA
Gene1123	0.0338676536750687	10	8	26	0.004333	48_48.61	32.368	49.708	-17.34	33	49	-16	19	0.0227308106843267	-10.994	-20.405	-1.584	-10.994	4.801	1	1683500	1684500	protein_coding	+	info1123	info1123	NA
Gene1182	0.0365958024314006	10	10	29	0.004833	48_48.61	64.917	47.931	16.986	76.5	47	29.5	12	0.0280535764679783	6.838	0.767	12.909	6.838	3.098	1	1772000	1773000	non_coding	-	info1182	info1182	NA
Gene1188	0.0398042942123082	10	8	32	0.005333	48_48.61	64.25	47.493	16.757	66	46.5	19.5	20	0.0264696486069468	9.005	1.092	16.918	9.005	4.037	1	1781000	1782000	non_coding	-	info1188	info1188	NA
Gene933	0.0422133656286796	10	9	26	0.004333	48_48.61	64.059	47.682	16.377	77	46	31	17	0.0243312134599391	9.972	1.337	18.606	9.972	4.405	1	1398500	1399500	protein_coding	+	info933	info933	NA
Gene1228	0.0429305747710643	10	9	32	0.005333	48_48.61	60.435	47.628	12.807	69	46	23	23	0.0323293472619925	8.682	0.769	16.595	8.682	4.037	1	1841000	1842000	non_coding	-	info1228	info1228	NA
Gene1093	0.043430995378712	10	9	29	0.004833	48_48.61	45.059	48.823	-3.764	35	48	-13	17	0.429707244230508	-3.121	-10.856	4.614	-3.121	3.947	1	1638500	1639500	protein_coding	+	info1093	info1093	NA
Gene84	0.0450247542780325	10	9	42	0.007	48_48.61	36.143	49.548	-13.406	27	49	-22	21	0.0342587178263567	-5.979	-11.49	-0.469	-5.979	2.811	1	125000	126000	non_coding	-	info84	info84	NA
Gene462	0.0450994521719514	10	10	34	0.005667	48_48.61	54.667	48.223	6.443	52	48	4	18	0.137749437188347	4.984	-1.58	11.548	4.984	3.349	1	692000	693000	non_coding	-	info462	info462	NA
Gene640	0.0461693776676027	10	7	27	0.0045	48_48.61	63.133	47.846	15.288	79	47	32	15	0.0318592318188904	8.439	0.769	16.11	8.439	3.914	1	959000	960000	non_coding	-	info640	info640	NA
Gene1265	0.0466224302854247	10	8	36	0.006	48_48.61	43.067	48.902	-5.835	43	48	-5	15	0.17107332544436	-3.905	-9.482	1.673	-3.905	2.846	1	1896500	1897500	protein_coding	+	info1265	info1265	NA
Gene1045	0.0469257729968166	10	10	36	0.006	48_48.61	41.333	49.074	-7.741	33.5	49	-15.5	18	0.0625528370085099	-6.048	-12.389	0.293	-6.048	3.235	1	1566500	1567500	protein_coding	+	info1045	info1045	NA
Gene301	0.0477642949479415	10	9	29	0.004833	48_48.61	38.381	49.38	-10.999	28	49	-21	21	0.0358549303317652	-8.602	-16.6	-0.605	-8.602	4.08	1	450500	451500	protein_coding	+	info301	info301	NA
Gene676	0.0480900632649467	10	8	30	0.005	48_48.61	61	47.484	13.516	59	46	13	25	0.0288883952687639	10.537	1.132	19.943	10.537	4.799	1	1013000	1014000	non_coding	-	info676	info676	NA
Gene1214	0.0492236953002552	10	9	25	0.004167	48_48.61	35.188	49.366	-14.179	24	48.5	-24.5	16	0.03515648465613	-8.509	-16.39	-0.629	-8.509	4.021	1	1820000	1821000	non_coding	-	info1214	info1214	NA
Gene512	0.0494948074298445	10	9	33	0.0055	48_48.61	38.762	49.351	-10.589	39	49	-10	21	0.0265621258508199	-8.418	-15.82	-1.016	-8.418	3.777	1	767000	768000	non_coding	-	info512	info512	NA
Gene673	0.0495157974244758	10	7	36	0.006	48_48.61	33.562	49.458	-15.895	25.5	49	-23.5	16	0.0356340412674323	-6.22	-11.996	-0.444	-6.22	2.947	1	1008500	1009500	protein_coding	+	info673	info673	NA
Gene57	0.0501400828098232	10	5	19	0.003167	48_48.61	32.273	49.232	-16.959	32	49	-17	11	0.0358680396095906	-10.585	-20.426	-0.744	-10.585	5.021	1	84500	85500	protein_coding	+	info57	info57	NA
Gene216	0.050372735652655	10	10	40	0.006667	48_48.61	60.32	47.545	12.775	62	46	16	25	0.0387665859736903	6.219	0.347	12.09	6.219	2.996	1	323000	324000	non_coding	-	info216	info216	NA
Gene1224	0.05060727123611	10	6	20	0.003333	48_48.61	63.077	47.955	15.122	61	47	14	13	0.0381572672182439	10.614	0.625	20.604	10.614	5.097	1	1835000	1836000	non_coding	-	info1224	info1224	NA
Gene537	0.0507167583724858	10	9	33	0.0055	48_48.61	61.5	47.387	14.113	62.5	44	18.5	26	0.0341283306949507	9.508	0.753	18.264	9.508	4.467	1	804500	805500	protein_coding	+	info537	info537	NA
Gene683	0.0529747886332117	10	10	33	0.0055	48_48.61	48.423	48.628	-0.205	47	48	-1	26	0.965173851110164	0.195	-8.535	8.925	0.195	4.454	1	1023500	1024500	protein_coding	+	info683	info683	NA
Gene1195	0.0530862917027927	10	8	20	0.003333	48_48.61	60.312	47.951	12.362	58.5	46.5	12	16	0.0328672178577521	10.917	0.936	20.897	10.917	5.092	1	1791500	1792500	protein_coding	+	info1195	info1195	NA
Gene1263	0.0531337140762065	10	9	27	0.0045	48_48.61	36.81	49.498	-12.689	26	49	-23	21	0.0273500713553021	-10.44	-19.668	-1.213	-10.44	4.708	1	1893500	1894500	protein_coding	+	info1263	info1263	NA
Gene1240	0.053751743537798	10	7	27	0.0045	48_48.61	31.882	49.615	-17.732	24	49	-25	17	0.0307693402026001	-8.873	-16.886	-0.861	-8.873	4.088	1	1859000	1860000	non_coding	-	info1240	info1240	NA
Gene305	0.0538844371832569	10	9	44	0.007333	48_48.61	38.333	49.151	-10.818	33	49	-16	15	0.0385012919753544	-4.714	-9.159	-0.27	-4.714	2.268	1	456500	457500	protein_coding	+	info305	info305	NA
Gene912	0.0541021532469662	10	9	36	0.006	48_48.61	38.765	49.201	-10.437	32	49	-17	17	0.0378289792324552	-6.553	-12.709	-0.396	-6.553	3.141	1	1367000	1368000	non_coding	-	info912	info912	NA
Gene29	0.0549290017485807	10	8	30	0.005	48_48.61	36.708	49.645	-12.937	25	49	-24	24	0.0365248494397574	-9.604	-18.565	-0.643	-9.604	4.572	1	42500	43500	protein_coding	+	info29	info29	NA
Gene662	0.0554272398757486	10	10	31	0.005167	48_48.61	41.68	49.24	-7.56	39	48	-9	25	0.129630222191742	-6.916	-15.835	2.003	-6.916	4.551	1	992000	993000	non_coding	-	info662	info662	NA
Gene112	0.0558181799137797	10	10	27	0.0045	48_48.61	31.476	49.9	-18.423	25	49	-24	21	0.0232768342297613	-11.016	-20.483	-1.55	-11.016	4.83	1	167000	168000	non_coding	-	info112	info112	NA
Gene575	0.0558273275802482	10	9	43	0.007167	48_48.61	40.731	49.358	-8.627	41.5	49	-7.5	26	0.0350938795684838	-6.892	-13.273	-0.511	-6.892	3.256	1	861500	862500	protein_coding	+	info575	info575	NA
Gene833	0.0578669566869058	10	10	39	0.0065	48_48.61	36.13	49.646	-13.516	39	49	-10	23	0.0387219221277461	-6.841	-13.298	-0.384	-6.841	3.295	1	1248500	1249500	protein_coding	+	info833	info833	NA
Gene356	0.0579523690690877	10	8	21	0.0035	48_48.61	62.917	48.014	14.903	61	46.5	14.5	12	0.0753886582566839	7.417	-0.73	15.563	7.417	4.156	1	533000	534000	non_coding	-	info356	info356	NA
Gene146	0.0605072202792281	10	8	24	0.004	48_48.61	64	47.686	16.314	77	47	30	17	0.0715414215593218	8.896	-0.745	18.538	8.896	4.919	1	218000	219000	non_coding	-	info146	info146	NA
Gene845	0.0607861137419395	10	7	11	0.001833	48_48.61	63.125	48.212	14.913	72.5	48	24.5	8	0.046778333070186	12.276	0.226	24.326	12.276	6.148	1	1266500	1267500	protein_coding	+	info845	info845	NA
Gene544	0.0614520431405915	10	9	46	0.007667	48_48.61	52.778	48.344	4.434	52.5	46.5	6	18	0.179323742048105	3.412	-1.556	8.38	3.412	2.535	1	815000	816000	non_coding	-	info544	info544	NA
Gene438	0.0638345462551305	10	10	28	0.004667	48_48.61	66.467	47.67	18.796	64	46	18	15	0.0346915090677763	8.181	0.624	15.738	8.181	3.856	1	656000	657000	non_coding	-	info438	info438	NA
Gene938	0.0638393024932716	10	10	39	0.0065	48_48.61	44.048	48.953	-4.906	47	48	-1	21	0.208595705613774	-4.077	-10.417	2.264	-4.077	3.235	1	1406000	1407000	non_coding	-	info938	info938	NA
Gene865	0.0642371375123556	10	10	38	0.006333	48_48.61	60.704	47.414	13.29	64	46	18	27	0.0624606265261325	7.242	-0.348	14.832	7.242	3.873	1	1296500	1297500	protein_coding	+	info865	info865	NA
Gene494	0.0655107155406413	10	6	22	0.003667	48_48.61	58.471	48.018	10.453	60	47	13	17	0.0405824105999645	10.91	0.514	21.306	10.91	5.304	1	740000	741000	non_coding	-	info494	info494	NA
Gene455	0.0663907481174576	10	8	19	0.003167	48_48.61	49.75	48.562	1.188	50.5	48	2.5	12	0.0814231438999947	7.885	-0.954	16.723	7.885	4.509	1	681500	682500	protein_coding	+	info455	info455	NA
Gene272	0.0668906040949347	10	9	28	0.004667	48_48.61	50.235	48.512	1.723	48	48	0	17	0.793741878462099	-1.018	-8.646	6.609	-1.018	3.892	1	407000	408000	non_coding	-	info272	info272	NA
Gene946	0.0676997240786834	10	10	47	0.007833	48_48.61	45.943	48.962	-3.019	49	48	1	35	0.222550295148122	-4.339	-11.297	2.619	-4.339	3.55	1	1418000	1419000	non_coding	-	info946	info946	NA
Gene66	0.0711500678686893	10	10	40	0.006667	48_48.61	31.941	49.611	-17.67	36	49	-13	17	0.0418714047230459	-5.669	-11.105	-0.232	-5.669	2.774	1	98000	99000	non_coding	-	info66	info66	NA
Gene51	0.0713564724993538	10	10	36	0.006	48_48.61	58.19	47.889	10.302	49	48	1	21	0.0492969417498199	6.912	0.05	13.775	6.912	3.501	1	75500	76500	protein_coding	+	info51	info51	NA
Gene986	0.0726873870720646	10	10	35	0.005833	48_48.61	43.364	49.025	-5.662	40	49	-9	22	0.465451587834981	-2.846	-10.478	4.786	-2.846	3.894	1	1478000	1479000	non_coding	-	info986	info986	NA
Gene914	0.0734772711866517	10	8	31	0.005167	48_48.61	37.429	49.452	-12.023	28	49	-21	21	0.0476358632730147	-8.443	-16.763	-0.123	-8.443	4.245	1	1370000	1371000	non_coding	-	info914	info914	NA
Gene1194	0.0736370236081108	10	8	38	0.006333	48_48.61	47.333	48.721	-1.388	37.5	48	-10.5	24	0.843355126110875	-0.733	-7.994	6.528	-0.733	3.705	1	1790000	1791000	non_coding	-	info1194	info1194	NA
Gene668	0.0770870925450937	10	6	27	0.0045	48_48.61	38.882	49.194	-10.312	37	49	-12	17	0.0513520116422556	-7.883	-15.781	0.014	-7.883	4.029	1	1001000	1002000	non_coding	-	info668	info668	NA
Gene229	0.077916128617681	10	10	35	0.005833	48_48.61	57.636	48.266	9.37	57	48	9	11	0.0660710019860167	3.691	-0.23	7.613	3.691	2.001	1	342500	343500	protein_coding	+	info229	info229	NA
Gene840	0.0783439398858509	10	8	31	0.005167	48_48.61	55.833	48.309	7.524	50.5	48	2.5	12	0.456861064241236	-2.14	-7.771	3.49	-2.14	2.873	1	1259000	1260000	non_coding	-	info840	info840	NA
Gene396	0.0791031153750179	10	7	25	0.004167	48_48.61	57.75	48.229	9.521	58.5	48	10.5	12	0.0779421412952825	6.36	-0.687	13.407	6.36	3.595	1	593000	594000	non_coding	-	info396	info396	NA
Gene1198	0.0796208761985928	10	9	40	0.006667	48_48.61	58.185	47.663	10.522	62	46	16	27	0.0466709234916711	7.186	0.136	14.236	7.186	3.597	1	1796000	1797000	non_coding	-	info1198	info1198	NA
Gene524	0.0797750811571514	10	9	34	0.005667	48_48.61	50.583	48.438	2.145	50.5	48	2.5	24	0.532637647947245	2.453	-5.243	10.149	2.453	3.927	1	785000	786000	non_coding	-	info524	info524	NA
Gene864	0.0802975662877629	10	7	29	0.004833	48_48.61	60.125	47.609	12.516	54.5	46	8.5	24	0.0477575945769373	9.438	0.132	18.745	9.438	4.748	1	1295000	1296000	non_coding	-	info864	info864	NA
Gene1082	0.0808234466592227	10	10	26	0.004333	48_48.61	46.2	48.737	-2.537	39	49	-10	15	0.290743988299538	-3.619	-10.321	3.083	-3.619	3.42	1	1622000	1623000	non_coding	-	info1082	info1082	NA
Gene565	0.0809655116862179	10	6	23	0.003833	48_48.61	55.6	48.111	7.489	56.5	47.5	9	20	0.0646325434309682	9.99	-0.567	20.548	9.99	5.386	1	846500	847500	protein_coding	+	info565	info565	NA
Gene648	0.0814638056919851	10	6	27	0.0045	48_48.61	47.955	48.662	-0.707	50	48	2	22	0.51243525343146	3.276	-6.514	13.066	3.276	4.995	1	971000	972000	non_coding	-	info648	info648	NA
Gene891	0.0826626468630065	10	9	21	0.0035	48_48.61	26.5	49.692	-23.192	19.5	49	-29.5	14	0.042126321796657	-8.879	-17.405	-0.353	-8.879	4.35	1	1335500	1336500	protein_coding	+	info891	info891	NA
Gene674	0.0829332380011775	10	10	18	0.003	48_48.61	40	48.846	-8.846	30	48.5	-18.5	8	0.0742527372753379	-6.744	-14.122	0.634	-6.744	3.765	1	1010000	1011000	non_coding	-	info674	info674	NA
Gene257	0.0833732167492336	10	10	40	0.006667	48_48.61	59.2	47.647	11.553	61	46	15	25	0.0494788777470997	6.942	0.044	13.839	6.942	3.519	1	384500	385500	protein_coding	+	info257	info257	NA
Gene94	0.0846382803520166	10	9	24	0.004	48_48.61	37	49.136	-12.136	19	48	-29	13	0.0928367079075911	-6.815	-14.736	1.107	-6.815	4.042	1	140000	141000	non_coding	-	info94	info94	NA
Gene1270	0.0849238084318541	10	9	33	0.0055	48_48.61	39.269	49.496	-10.227	39	49	-10	26	0.0514835029853292	-8.289	-16.598	0.019	-8.289	4.239	1	1904000	1905000	non_coding	-	info1270	info1270	NA
Gene777	0.0852601967565475	10	7	24	0.004	48_48.61	58.478	47.791	10.688	67	47	20	23	0.0698654542077924	10.829	-0.837	22.494	10.829	5.952	1	1164500	1165500	protein_coding	+	info777	info777	NA
Gene54	0.0871554007587978	10	5	23	0.003833	48_48.61	42.167	49.021	-6.855	32.5	48	-15.5	18	0.822568123877971	-1.183	-11.513	9.147	-1.183	5.271	1	80000	81000	non_coding	-	info54	info54	NA
Gene224	0.087662899183891	10	9	32	0.005333	48_48.61	57.467	48.144	9.323	51	48	3	15	0.0631340822350408	5.701	-0.289	11.69	5.701	3.056	1	335000	336000	non_coding	-	info224	info224	NA
Gene794	0.0876655861038295	10	10	28	0.004667	48_48.61	57.429	48.178	9.25	60.5	47.5	13	14	0.252759245025119	4.219	-2.997	11.434	4.219	3.682	1	1190000	1191000	non_coding	-	info794	info794	NA
Gene1022	0.0885391510896782	10	10	35	0.005833	48_48.61	36.762	49.502	-12.74	39	49	-10	21	0.0498395072850049	-7.058	-14.081	-0.034	-7.058	3.583	1	1532000	1533000	non_coding	-	info1022	info1022	NA
Gene357	0.0891002792939466	10	7	25	0.004167	48_48.61	44.579	48.883	-4.304	37	48	-11	19	0.134337583203544	-7.443	-17.16	2.274	-7.443	4.958	1	534500	535500	protein_coding	+	info357	info357	NA
Gene1006	0.0905280360044309	10	8	22	0.003667	48_48.61	59.579	47.868	11.711	65	48	17	19	0.0579083243080248	10.497	-0.309	21.303	10.497	5.513	1	1508000	1509000	non_coding	-	info1006	info1006	NA
Gene456	0.0905491516003879	10	7	17	0.002833	48_48.61	34.667	49.344	-14.677	31	49	-18	15	0.0684212101040765	-11.368	-23.55	0.814	-11.368	6.216	1	683000	684000	non_coding	-	info456	info456	NA
Gene131	0.0913975524053513	10	8	41	0.006833	48_48.61	38.185	49.641	-11.456	33	49	-16	27	0.0653174074895314	-6.322	-13.019	0.376	-6.322	3.417	1	195500	196500	protein_coding	+	info131	info131	NA
Gene894	0.0921982917253064	10	9	36	0.006	48_48.61	61	48.003	12.997	66	47	19	14	0.0695201338623584	4.641	-0.352	9.634	4.641	2.548	1	1340000	1341000	non_coding	-	info894	info894	NA
Gene536	0.0924674095395905	10	9	47	0.007833	48_48.61	57	47.913	9.087	57	46	11	23	0.0726888663665797	4.24	-0.374	8.854	4.24	2.354	1	803000	804000	non_coding	-	info536	info536	NA
Gene898	0.0932305565216535	10	6	19	0.003167	48_48.61	59.786	48.063	11.723	64.5	47.5	17	14	0.0708389114334509	9.369	-0.759	19.497	9.369	5.167	1	1346000	1347000	non_coding	-	info898	info898	NA
Gene1219	0.0938722437010989	10	7	20	0.003333	48_48.61	59.5	47.996	11.504	78.5	48	30.5	16	0.697192784104154	2.073	-8.358	12.503	2.073	5.322	1	1827500	1828500	protein_coding	+	info1219	info1219	NA
Gene684	0.0940437242862405	10	10	28	0.004667	48_48.61	61.133	47.951	13.182	59	47	12	15	0.0595437018755764	6.355	-0.23	12.941	6.355	3.36	1	1025000	1026000	non_coding	-	info684	info684	NA
Gene769	0.0941697262110368	10	10	46	0.007667	48_48.61	51.333	48.341	2.993	53	48	5	27	0.148127463614627	4.306	-1.515	10.127	4.306	2.97	1	1152500	1153500	protein_coding	+	info769	info769	NA
Gene757	0.0945744492329957	10	8	25	0.004167	48_48.61	43.333	49.007	-5.674	42	48	-6	21	0.323095604875648	-5.235	-15.601	5.131	-5.235	5.289	1	1134500	1135500	protein_coding	+	info757	info757	NA
