SetID	MetaSKATO_P	METASKATO_exome_wide_check	RE_ORsum	RE_ORsum_L95	RE_ORsum_U95	RE_ORsum_SE	RE_tau2	RE_het	RE_hetP	FE_ORsum	FE_ORsum_L95	FE_ORsum_U95	FE_ORsum_SE	FE_tau2	FE_het	FE_hetP	cohort1_P.value	cohort1_N.Marker.All	cohort1_N.Marker.Test	cohort1_MAC	cohort1_m	cohort1_Method.bin	cohort1_MAP	cohort1_cases_cMAC	cohort1_cases_cMAF	cohort1_controls_cMAC	cohort1_controls_cMAF	cohort1_no_of_carriers	cohort1_enrichment_ratio	cohort1_P_regression	cohort1_OR_noOfMutations	cohort1_OR_L95	cohort1_OR_U95	cohort1_eff_estimate	cohort1_eff_stdErr	cohort1_exome_wide_check	cohort2_P.value	cohort2_N.Marker.All	cohort2_N.Marker.Test	cohort2_MAC	cohort2_m	cohort2_Method.bin	cohort2_MAP	cohort2_cases_cMAC	cohort2_cases_cMAF	cohort2_controls_cMAC	cohort2_controls_cMAF	cohort2_no_of_carriers	cohort2_enrichment_ratio	cohort2_P_regression	cohort2_OR_noOfMutations	cohort2_OR_L95	cohort2_OR_U95	cohort2_eff_estimate	cohort2_eff_stdErr	cohort2_exome_wide_check	chr	start	end	gene_type	strand	additional_info1	additional_info2
Gene1282	0.0238434222856321	NA	0.578	0.157	2.124	0.664	0.504754	2.33403459344313	0.126573439531159	3.749	1.604	8.762	0.433	10.661934	29.1788530432795	6.59955863291373e-08	0.00814745036477222	10	10	33	13	ER.A	-1	2	0.00068	31	0.010131	13	0.067	0.0539943010732981	0.29	0.082	1.021	-1.238	0.642	NA	0.875343046503407	10	5	11	10	ER	0.000246166098528434	6	0.003093	5	0.002427	10	1.274	0.876923246934451	1.095	0.347	3.461	0.091	0.587	NA	1	1922000	1923000	non_coding	-	info1282	info1282
Gene595	0.0251490632322678	NA	0.616	0.402	0.945	0.218	0	0.324450566144747	0.568945213578052	0.999	0.651	1.532	0.218	1.0996255	9.90944114727866	0.00164433042369772	0.105113670179266	10	8	33	14	ER.A	-1	8	0.002721	25	0.00817	14	0.333	0.106829771328923	0.664	0.403	1.092	-0.41	0.254	NA	0.0448385762303639	10	10	24	19	ER.A	-1	6	0.003093	18	0.008738	19	0.354	0.104207982768788	0.5	0.217	1.154	-0.693	0.427	NA	1	891500	892500	protein_coding	+	info595	info595
Gene159	0.0251614705985724	NA	0.462	0.242	0.881	0.33	0	0.049331449169819	0.824230711899158	1.126	0.591	2.149	0.33	1.431726	7.53700943071019	0.00604442861191656	0.0390462338912865	10	6	19	14	ER	1.46556079747797e-05	5	0.001701	14	0.004575	14	0.372	0.113776083742089	0.494	0.206	1.184	-0.706	0.446	NA	0.110408803185793	10	8	21	14	ER.A	-1	4	0.002062	17	0.008252	14	0.25	0.0811457911953892	0.426	0.164	1.111	-0.853	0.489	NA	1	237500	238500	protein_coding	+	info159	info159
Gene1280	0.0255266872332371	NA	0.833	0.533	1.302	0.228	0	0.0876098098341066	0.767238066920088	2.196	1.405	3.433	0.228	1.0344435	10.6571365889635	0.00109647008826552	0.0567912503629509	10	8	20	13	ER	3.67906270954228e-05	9	0.003061	11	0.003595	13	0.851	0.773661041703319	0.903	0.451	1.809	-0.102	0.355	NA	0.0504621165609549	10	10	30	19	ER.A	-1	11	0.00567	19	0.009223	19	0.615	0.421223436363488	0.788	0.44	1.409	-0.239	0.297	NA	1	1919000	1920000	non_coding	-	info1280	info1280
Gene408	0.0256944343194441	NA	1.548	0.252	9.515	0.926	1.4266135	5.38178043083312	0.0203481020128133	7.244	4.371	12.004	0.258	206.5322215	635.354607260615	0	0.014883229116583	10	10	39	28	ER.A	-1	14	0.004762	25	0.00817	28	0.583	0.181828526513617	0.694	0.406	1.186	-0.365	0.274	NA	0.0271144785229572	10	9	15	11	ER	0.000125492328626712	13	0.006701	2	0.000971	11	6.901	0.0469337859971416	4.515	1.021	19.975	1.507	0.759	NA	1	611000	612000	non_coding	-	info408	info408
Gene1160	0.0258686338952175	NA	1.572	1.037	2.381	0.212	0	0.120887356259419	0.728074065846043	3.216	2.123	4.874	0.212	13.549898	74.5837625751795	0	0.0190426107637983	10	9	41	15	MA	-1	32	0.010884	9	0.002941	15	3.701	0.0650357096542464	1.525	0.974	2.388	0.422	0.229	NA	0.344704473234963	10	5	11	9	ER	0.000281231305499567	7	0.003608	4	0.001942	9	1.858	0.260325735562709	1.882	0.626	5.663	0.633	0.562	NA	1	1739000	1740000	non_coding	-	info1160	info1160
Gene609	0.0262028177572073	NA	1.875	0.587	5.992	0.593	0.470818	2.94552892561984	0.0861155031969038	40.712	21.507	77.067	0.326	61.607442	255.57620661157	0	0.906786560025426	10	8	23	21	ER.A	-1	12	0.004082	11	0.003595	21	1.135	0.795010054918584	1.108	0.51	2.41	0.103	0.396	NA	0.00775374969295106	10	9	25	15	ER.A	-1	22	0.01134	3	0.001456	15	7.788	0.0234041412396601	3.658	1.192	11.225	1.297	0.572	NA	1	912500	913500	protein_coding	+	info609	info609
Gene564	0.0270137527805083	NA	0.592	0.379	0.925	0.228	0	0.0315301914512859	0.859062706741354	1.16	0.742	1.814	0.228	1.2388375	12.3400445789033	0.000443344434290505	0.128068668069072	10	8	31	16	ER.A	-1	8	0.002721	23	0.007516	16	0.362	0.0915433126873675	0.611	0.345	1.083	-0.492	0.292	NA	0.179263505364198	10	9	23	14	ER.A	-1	6	0.003093	17	0.008252	14	0.375	0.115020673436398	0.563	0.275	1.15	-0.575	0.365	NA	1	845000	846000	non_coding	-	info564	info564
Gene1309	0.0272422564031419	NA	0.569	0.326	0.993	0.284	0	0.124833211944647	0.723850473917337	1.224	0.702	2.135	0.284	2.350633	14.6963321194465	0.000126291936577982	0.0200178319427778	10	9	30	23	ER.A	-1	9	0.003061	21	0.006863	23	0.446	0.0744309193828098	0.527	0.261	1.065	-0.641	0.359	NA	0.443009699850747	10	8	19	17	ER	6.74927532318992e-07	7	0.003608	12	0.005825	17	0.619	0.348601908989718	0.648	0.262	1.605	-0.434	0.463	NA	1	1962500	1963500	protein_coding	+	info1309	info1309
Gene496	0.0274693258354577	NA	1.187	0.667	2.11	0.294	0	0.808947954930043	0.368431471027839	4.52	2.542	8.039	0.294	0.8559685	5.41603295637459	0.0199526444540041	0.475174678488269	10	6	14	12	ER	6.97935997146956e-05	9	0.003061	5	0.001634	12	1.873	0.283520343993016	1.724	0.637	4.663	0.544	0.508	NA	0.000652508954746572	10	9	21	14	ER.A	-1	10	0.005155	11	0.00534	14	0.965	0.96387820175458	0.984	0.486	1.993	-0.016	0.36	suggestiveHit	1	743000	744000	non_coding	-	info496	info496
Gene951	0.0296272463376419	NA	1.761	1.058	2.93	0.26	0	0.254942617559528	0.613616131329219	6.902	4.148	11.485	0.26	13.732744	82.009341053147	0	0.13093426127749	10	7	27	11	ER.A	-1	21	0.007143	6	0.001961	11	3.643	0.111748939475539	1.624	0.893	2.951	0.485	0.305	NA	0.251854698249741	10	10	20	17	ER	7.68726296371018e-07	14	0.007216	6	0.002913	17	2.477	0.116267130361261	2.179	0.824	5.758	0.779	0.496	NA	1	1425500	1426500	protein_coding	+	info951	info951
Gene970	0.0297235854099324	NA	0.419	0.185	0.947	0.416	0	0.651518733010282	0.419570215702998	0.881	0.39	1.994	0.416	1.1430235	3.75700392436847	0.052586725695232	0.260777058058543	10	7	18	17	ER	1.55945427601976e-06	6	0.002041	12	0.003922	17	0.52	0.18961325982662	0.521	0.197	1.38	-0.652	0.497	NA	0.0190792663895465	10	7	13	10	ER	0.000357549464964947	2	0.001031	11	0.00534	10	0.193	0.068866289988779	0.25	0.056	1.113	-1.387	0.763	NA	1	1454000	1455000	non_coding	-	info970	info970
Gene1172	0.0305642705196996	NA	1.802	1.062	3.059	0.27	0	0.28841639347653	0.59123713420364	4.56	2.687	7.74	0.27	5.4346185	29.101277702514	6.86916670211701e-08	0.0317604899624255	10	9	33	19	ER.A	-1	25	0.008503	8	0.002614	19	3.253	0.0307258485149527	1.961	1.065	3.612	0.673	0.312	NA	0.040182695132584	10	7	14	13	ER	1.77871285015769e-05	8	0.004124	6	0.002913	13	1.416	0.528914487293042	1.403	0.489	4.028	0.339	0.538	NA	1	1757000	1758000	non_coding	-	info1172	info1172
Gene551	0.0306999875793216	NA	0.612	0.391	0.959	0.229	0	0.309108471901821	0.578227778503311	0.914	0.584	1.431	0.229	1.33497	9.00944355615286	0.00268588179084439	0.152477687696877	10	9	40	23	ER.A	-1	13	0.004422	27	0.008824	23	0.501	0.0930185398214945	0.652	0.396	1.074	-0.428	0.255	NA	0.170697813017018	10	7	16	9	ER	0.000848311093851451	3	0.001546	13	0.006311	9	0.245	0.148108811656468	0.473	0.171	1.305	-0.749	0.518	NA	1	825500	826500	protein_coding	+	info551	info551
Gene797	0.0313450372986412	NA	1.544	0.938	2.54	0.254	0	0.529984397259345	0.466613419272668	8.235	5.005	13.549	0.254	5.1518315	39.8322177750643	2.76742295746146e-10	0.186081965298021	10	8	16	11	ER	0.000110331133918593	9	0.003061	7	0.002288	11	1.338	0.581984129551321	1.241	0.575	2.681	0.216	0.393	NA	0.0247798775725714	10	10	27	16	ER.A	-1	20	0.010309	7	0.003398	16	3.034	0.0760856954886038	1.805	0.94	3.467	0.591	0.333	NA	1	1194500	1195500	protein_coding	+	info797	info797
Gene5	0.034741401807211	NA	0.687	0.285	1.657	0.449	0.1904425	1.88389616537794	0.169891983111325	2.256	1.193	4.265	0.325	6.785824	32.4948806727993	1.19506921025803e-08	0.016170569448088	10	7	32	15	ER.A	-1	4	0.001361	28	0.00915	15	0.149	0.0653375007442469	0.453	0.195	1.052	-0.792	0.43	NA	0.975326280463025	10	7	19	19	ER	2.41871310285051e-07	10	0.005155	9	0.004369	19	1.18	0.825716007006789	1.115	0.422	2.95	0.109	0.496	NA	1	6500	7500	protein_coding	+	info5	info5
Gene158	0.0355579848396333	NA	1.335	0.83	2.149	0.243	0	0.0474835671539292	0.827501382576831	5.409	3.361	8.704	0.243	2.5291	20.8497007750417	4.96769859104074e-06	0.804935557142103	10	8	9	4	ER	0.025780273850446	6	0.002041	3	0.00098	4	2.083	0.586591823976626	1.245	0.565	2.745	0.219	0.403	NA	0.0108701058334427	10	8	24	13	ER.A	-1	15	0.007732	9	0.004369	13	1.77	0.279718688809938	1.39	0.765	2.524	0.329	0.304	NA	1	236000	237000	non_coding	-	info158	info158
Gene686	0.0366421612522417	NA	1.556	0.835	2.902	0.318	0.099856	1.80145111321572	0.179537161322729	4.086	2.732	6.112	0.205	15.1713865	122.766589883943	0	0.10073747751798	10	10	23	10	ER.A	-1	16	0.005442	7	0.002288	10	2.378	0.359125021364141	1.238	0.785	1.952	0.213	0.232	NA	0.017917047195153	10	10	27	14	ER.A	-1	23	0.011856	4	0.001942	14	6.105	0.0456143793730959	2.417	1.017	5.744	0.883	0.442	NA	1	1028000	1029000	non_coding	-	info686	info686
Gene577	0.0399331325163075	NA	0.968	0.622	1.505	0.225	0	0.0644203226956128	0.799641119861009	1.916	1.232	2.98	0.225	1.6951655	15.9174384990738	6.61662700385257e-05	0.0105532661001047	10	9	43	35	MA	-1	21	0.007143	22	0.00719	35	0.993	0.977505864694522	1.008	0.586	1.734	0.008	0.277	NA	0.583570050927297	10	9	20	16	ER	1.26864732785688e-06	10	0.005155	10	0.004854	16	1.062	0.771372487290371	0.893	0.418	1.91	-0.113	0.388	NA	1	864500	865500	protein_coding	+	info577	info577
Gene251	0.040505984560063	NA	0.617	0.394	0.966	0.229	0	0.00398212468474847	0.94968362684439	1.178	0.752	1.845	0.229	1.4095075	13.4729657979735	0.000242025442100724	0.109109334197166	10	10	33	19	ER.A	-1	9	0.003061	24	0.007843	19	0.39	0.100453605786807	0.624	0.355	1.095	-0.472	0.287	NA	0.238080697594861	10	8	22	13	ER.A	-1	5	0.002577	17	0.008252	13	0.312	0.185755910036183	0.605	0.288	1.273	-0.502	0.379	NA	1	375500	376500	protein_coding	+	info251	info251
Gene405	0.0407318927169458	NA	0.548	0.178	1.692	0.575	0.4500155	3.08492535066078	0.0790208910626269	2.295	1.233	4.272	0.317	5.0979575	24.618877190544	6.98639903262688e-07	0.00617427655247956	10	6	23	15	ER.A	-1	3	0.00102	20	0.006536	15	0.156	0.0186850491399686	0.293	0.105	0.815	-1.227	0.522	NA	0.823930767743748	10	5	15	10	ER	0.000271746279053726	7	0.003608	8	0.003883	10	0.929	0.854211084810886	0.929	0.425	2.033	-0.073	0.399	NA	1	606500	607500	protein_coding	+	info405	info405
Gene1285	0.0416072940383385	NA	0.563	0.33	0.959	0.272	0	0.467761947546314	0.494018583063796	1.549	0.909	2.639	0.272	2.097396	14.8055152394775	0.000119186421538409	0.0593561065125621	10	6	25	19	ER.A	-1	6	0.002041	19	0.006209	19	0.329	0.0589004786432916	0.452	0.198	1.03	-0.794	0.42	NA	0.420081667479176	10	7	22	13	ER.A	-1	7	0.003608	15	0.007282	13	0.495	0.242874698039404	0.659	0.327	1.327	-0.417	0.357	NA	1	1926500	1927500	protein_coding	+	info1285	info1285
Gene604	0.0429869676473561	NA	1.633	1.02	2.612	0.24	0	0.468641031235093	0.493613022893354	5.812	3.633	9.3	0.24	9.9717915	74.7468541191349	0	0.221931060231722	10	8	26	13	ER.A	-1	18	0.006122	8	0.002614	13	2.342	0.185895911475918	1.463	0.833	2.571	0.381	0.288	NA	0.176857104453041	10	10	24	20	ER.A	-1	17	0.008763	7	0.003398	20	2.579	0.0886060937245178	2.089	0.895	4.877	0.737	0.433	NA	1	905000	906000	non_coding	-	info604	info604
Gene1106	0.0461081490577158	NA	1.654	1.034	2.646	0.24	0	0.298233538857199	0.584991958242782	4.597	2.873	7.356	0.24	2.710884	23.345642784134	1.35349763774606e-06	0.0558839691178603	10	10	41	32	MA	-1	28	0.009524	13	0.004248	32	2.242	0.0469692626381956	1.835	1.008	3.341	0.607	0.306	NA	0.475502573803759	10	9	20	14	ER	6.71724826102139e-06	12	0.006186	8	0.003883	14	1.593	0.382034536926804	1.401	0.658	2.987	0.338	0.386	NA	1	1658000	1659000	non_coding	-	info1106	info1106
Gene1094	0.0466872184775889	NA	0.624	0.398	0.976	0.228	0	0.803897932329097	0.369930501172496	1.647	1.053	2.577	0.228	1.968049	19.1098248875066	1.23407964602862e-05	0.0663889917042337	10	9	27	16	ER.A	-1	6	0.002041	21	0.006863	16	0.297	0.0454199893990837	0.485	0.239	0.985	-0.723	0.361	NA	0.452541785011427	10	10	29	18	ER.A	-1	10	0.005155	19	0.009223	18	0.559	0.301972719843321	0.737	0.413	1.315	-0.305	0.295	NA	1	1640000	1641000	non_coding	-	info1094	info1094
Gene113	0.0469287472031747	NA	0.843	0.29	2.457	0.545	0.475022	4.95461148782244	0.0260211711662175	2.796	1.731	4.519	0.245	6.4901295	55.031056831379	1.18682841332429e-13	0.0184789223667977	10	8	33	15	ER.A	-1	5	0.001701	28	0.00915	15	0.186	0.0357036683385952	0.491	0.253	0.954	-0.711	0.339	NA	0.484577325088684	10	9	27	21	ER.A	-1	16	0.008247	11	0.00534	21	1.544	0.283308612346027	1.462	0.731	2.925	0.38	0.354	NA	1	168500	169500	protein_coding	+	info113	info113
Gene375	0.0470253086461333	NA	0.867	0.509	1.479	0.272	0.062649	1.6136704248254	0.203976620058064	1.506	1.03	2.203	0.194	4.610361	46.1602131473518	1.08967279643934e-11	0.017739630966225	10	10	47	27	MA	-1	15	0.005102	32	0.010458	27	0.488	0.130143310411916	0.713	0.46	1.105	-0.338	0.223	NA	0.665648238379583	10	9	21	16	ER.A	-1	12	0.006186	9	0.004369	16	1.416	0.548374385430005	1.266	0.586	2.732	0.236	0.393	NA	1	561500	562500	protein_coding	+	info375	info375
Gene1194	0.0471362346942242	NA	1.563	1.037	2.356	0.209	0	0.029069702237425	0.86461819754993	4.438	2.944	6.691	0.209	2.5997155	30.1562328267818	3.98604079743237e-08	0.119716961188141	10	8	38	24	ER.A	-1	26	0.008844	12	0.003922	24	2.255	0.0870511371478018	1.612	0.933	2.786	0.478	0.279	NA	0.309900439395967	10	8	21	11	ER.A	-1	14	0.007216	7	0.003398	11	2.124	0.200370143681585	1.501	0.806	2.797	0.406	0.317	NA	1	1790000	1791000	non_coding	-	info1194	info1194
Gene994	0.0476512124505105	NA	0.754	0.493	1.153	0.217	0	0.199616004915137	0.655030974457624	1.202	0.786	1.838	0.217	1.3957945	11.7195645495738	0.000618464246763706	0.0396253652420034	10	9	32	15	ER.A	-1	12	0.004082	20	0.006536	15	0.625	0.356498918861888	0.796	0.489	1.294	-0.229	0.248	NA	0.376647453826437	10	7	18	14	ER	5.80341492281449e-06	6	0.003093	12	0.005825	14	0.531	0.305727173873019	0.633	0.264	1.518	-0.457	0.446	NA	1	1490000	1491000	non_coding	-	info994	info994
Gene282	0.0480429600799138	NA	0.584	0.307	1.111	0.329	0	0.677442666062619	0.410468726186969	0.871	0.457	1.658	0.329	1.7693295	4.91009883923293	0.0267001132358242	0.345584155182025	10	7	22	15	ER.A	-1	7	0.002381	15	0.004902	15	0.486	0.224742293558126	0.651	0.325	1.302	-0.43	0.354	NA	0.081504983146094	10	7	12	6	ER	0.00625733363617377	1	0.000515	11	0.00534	6	0.096	0.169499829750848	0.297	0.053	1.678	-1.213	0.883	NA	1	422000	423000	non_coding	-	info282	info282
Gene465	0.0491334895966111	NA	0.926	0.626	1.369	0.2	0	0.000223451203843361	0.988073438906798	2.03	1.373	3.004	0.2	1.4367275	18.8354716372146	1.42492305079678e-05	0.00404570867518004	10	9	40	29	ER.A	-1	18	0.006122	22	0.00719	29	0.851	0.766507908920867	0.923	0.544	1.567	-0.08	0.27	NA	0.926120528351721	10	8	22	12	ER.A	-1	10	0.005155	12	0.005825	12	0.885	0.803982356736171	0.929	0.519	1.662	-0.074	0.297	NA	1	696500	697500	protein_coding	+	info465	info465
Gene1100	0.0493940436349094	NA	0.585	0.353	0.971	0.258	0	0.640989449927457	0.42335273000286	1.275	0.769	2.115	0.258	2.7308355	20.5657131598273	5.76188891732166e-06	0.0414792977172799	10	8	36	27	ER.A	-1	10	0.003401	26	0.008497	27	0.4	0.0341623697746929	0.495	0.258	0.949	-0.703	0.332	NA	0.700357609813922	10	7	18	13	ER	2.73141190840894e-05	7	0.003608	11	0.00534	13	0.676	0.496081341424151	0.756	0.337	1.693	-0.28	0.411	NA	1	1649000	1650000	non_coding	-	info1100	info1100
Gene70	0.0499806793878113	NA	1.625	1.04	2.539	0.228	0	0.00846753870154805	0.926682761031291	5.402	3.459	8.438	0.228	3.1777595	31.5077115084603	1.98649775517978e-08	0.176026393013805	10	10	36	28	ER.A	-1	23	0.007823	13	0.004248	28	1.842	0.103643323746201	1.657	0.902	3.043	0.505	0.31	NA	0.268983898008456	10	10	24	15	ER.A	-1	16	0.008247	8	0.003883	15	2.124	0.167033597817956	1.59	0.824	3.067	0.463	0.335	NA	1	104000	105000	non_coding	-	info70	info70
Gene985	0.0505794055220885	NA	0.638	0.373	1.092	0.274	0.0419615	1.23335733928755	0.26675510772358	2.323	1.527	3.533	0.214	2.095028	12.6509219120603	0.000375380523210178	0.0741116248423277	10	8	16	11	ER	0.000187292178876093	3	0.00102	13	0.004248	11	0.24	0.0789190487077269	0.379	0.128	1.119	-0.971	0.553	NA	0.272843758654854	10	10	34	13	ER.A	-1	10	0.005155	24	0.01165	13	0.442	0.188943654996482	0.737	0.468	1.162	-0.305	0.232	NA	1	1476500	1477500	protein_coding	+	info985	info985
