SetID	P.value	N.Marker.All	N.Marker.Test
Gene173	0.333468619779134	10	6
Gene174	0.637100953468341	10	6
Gene175	0.355798107240665	10	9
Gene176	0.618769766698165	10	8
Gene177	1	10	10
Gene178	0.203229333199211	10	10
Gene179	0.45792030248294	10	10
Gene180	0.586729076842185	10	7
Gene181	1	10	7
Gene182	0.876978173053134	10	8
Gene183	0.700130308617558	10	10
Gene184	0.143057421310241	10	10
Gene185	0.386368400840832	10	10
Gene186	0.261048450141379	10	1
Gene187	0.435156961332196	10	6
Gene188	0.497109748482108	10	9
Gene189	0.515901060320892	10	10
Gene190	0.12553273127327	10	9
Gene191	0.822414045241929	10	7
Gene192	0.294816224311715	10	10
Gene193	0.509615686703659	10	10
Gene194	0.422787471527328	10	7
Gene195	0.178466838792094	10	7
Gene196	0.655678458460163	10	10
Gene197	0.19012590699365	10	5
Gene198	1	10	8
Gene199	1	10	9
Gene200	0.412168539517241	10	10
Gene201	0.734476093086725	10	10
Gene202	0.696676989467868	10	10
Gene203	0.442727465609191	10	10
Gene204	0.89159835101926	10	10
Gene205	1	10	9
Gene206	1	10	10
Gene207	1	10	8
Gene208	1	10	7
Gene209	0.277538089581975	10	10
Gene210	0.801241995578496	10	9
Gene211	0.6512504759661	10	4
Gene212	0.541163759330761	10	7
Gene213	1	10	10
Gene214	1	10	10
Gene215	0.589789338238594	10	9
Gene216	0.050372735652655	10	10
Gene217	0.871698892091293	10	9
Gene218	0.815823927457042	10	9
Gene219	0.413935352407855	10	10
Gene220	0.17185062261758	10	10
Gene221	0.250537839954415	10	7
Gene222	0.459886209058058	10	8
Gene223	0.187887764440379	10	10
Gene224	0.087662899183891	10	9
Gene225	0.668241080159558	10	9
Gene226	0.498006529311013	10	10
Gene227	0.919639781883296	10	9
Gene228	0.43843379600724	10	10
Gene229	0.077916128617681	10	10
Gene230	0.573962530847227	10	9
Gene231	0.681004710960068	10	9
Gene232	0.669274892038804	10	6
Gene233	0.494553751098194	10	10
Gene234	0.506083625895977	10	7
Gene235	0.317488122702342	10	10
Gene236	0.34232504098769	10	9
Gene237	0.610481477132237	10	10
Gene238	0.818511705952681	10	10
Gene239	0.308295989078122	10	6
Gene240	0.395988596009502	10	10
Gene241	0.634934552640028	10	8
Gene242	0.694090642830507	10	9
Gene243	0.771679912968267	10	6
Gene244	0.415169688912023	10	9
Gene245	0.804110179023621	10	8
Gene246	0.311854702048255	10	8
Gene247	0.781044717233436	10	10
Gene248	0.323031916582663	10	10
Gene249	0.586564555235103	10	10
Gene250	0.632392112936757	10	9
Gene251	0.705884009016461	10	10
Gene252	0.441568720883167	10	10
Gene253	0.709555747534479	10	4
Gene254	0.197532169544005	10	7
Gene255	0.109384404899932	10	7
Gene256	0.168765987508191	10	10
Gene257	0.0833732167492336	10	10
Gene258	0.719748669996262	10	7
Gene259	0.228445457226729	10	7
Gene260	0.174556067665997	10	7
Gene261	0.32665484212337	10	10
Gene262	0.175309544129996	10	9
Gene263	0.564408792700635	10	10
Gene264	0.231132639772507	10	8
Gene265	0.723897382827158	10	10
Gene266	0.30846917300742	10	7
Gene267	0.855188788898161	10	5
Gene268	0.406810192413427	10	10
Gene269	0.809196925659921	10	10
Gene270	0.645947064519088	10	10
Gene271	0.113014992584559	10	7
Gene272	0.0668906040949347	10	9
Gene273	0.341949971884851	10	10
Gene274	0.437248593416242	10	9
Gene275	0.612433454961976	10	10
Gene276	0.198585216680099	10	8
Gene277	0.398192096365485	10	8
Gene278	0.72615556307409	10	9
Gene279	0.399391978531218	10	9
Gene280	0.141676816537538	10	9
Gene281	0.647645088306387	10	9
Gene282	0.0166688022498311	10	7
Gene283	0.62336208347443	10	6
Gene284	0.400608190423392	10	6
Gene285	0.360743677685153	10	10
Gene286	0.532423365335297	10	9
Gene287	0.211637306535689	10	10
Gene288	0.651472981746691	10	9
Gene289	0.695542599402884	10	10
Gene290	0.765105225155113	10	10
Gene291	1	10	6
Gene292	0.380923348393677	10	10
Gene293	0.135789741304875	10	7
Gene294	0.839411094295693	10	9
Gene295	0.418065345000637	10	10
Gene296	0.246425441024016	10	9
Gene297	0.755179429951256	10	10
Gene298	0.167715930790999	10	9
Gene299	0.871913948584853	10	7
Gene300	0.476864808655778	10	8
Gene301	0.0477642949479415	10	9
Gene302	0.4994705216798	10	8
Gene303	0.536236013061682	10	4
Gene304	0.457543708912315	10	10
Gene305	0.0538844371832569	10	9
Gene306	0.134767188696239	10	9
Gene307	0.734976028416837	10	9
Gene308	0.110104999173171	10	7
Gene309	0.640947373706343	10	9
Gene310	1	10	10
Gene311	0.806368973057966	10	9
Gene312	0.597348236741181	10	10
Gene313	0.372317410091806	10	10
Gene314	0.346490526033844	10	8
Gene315	0.535949383408018	10	8
Gene316	0.688674067843331	10	7
Gene317	0.00875966732342037	10	8
Gene318	0.12291897116063	10	10
Gene319	0.323996809219868	10	9
Gene320	0.116900704136301	10	9
Gene321	0.404585338419978	10	7
Gene322	0.854310693204086	10	10
Gene323	0.456655579408162	10	9
Gene324	0.722435003229011	10	9
Gene325	0.186225911667167	10	10
Gene326	0.461413277253685	10	10
Gene327	0.234077239369355	10	10
Gene328	0.879658145631032	10	10
Gene329	0.231190604702536	10	10
Gene330	0.653985757648583	10	9
Gene331	0.832919017503392	10	10
Gene332	1	10	10
Gene333	0.835527298099211	10	8
Gene334	0.742028681856443	10	7
Gene335	0.574466938234535	10	10
Gene336	0.234823779023663	10	10
Gene337	0.660222090479472	10	10
Gene338	0.756256387980075	10	8
Gene339	0.143553600468722	10	10
Gene340	1	10	4
Gene341	0.744438877649797	10	9
Gene342	0.714380642885562	10	9
Gene343	0.415373567206233	10	9
Gene344	0.621488619157543	10	8
Gene345	0.234008052953615	10	10
Gene346	0.391596135386699	10	9
Gene347	0.274691619720736	10	7
Gene348	0.245712179958861	10	9
Gene349	0.676879593529085	10	10
Gene350	0.812468082383323	10	10
Gene351	0.266919997846093	10	9
Gene352	0.596573525589609	10	5
Gene353	0.732294192536246	10	7
Gene354	0.529763928577516	10	7
Gene355	1	10	10
Gene356	0.0579523690690877	10	8
Gene357	0.0891002792939466	10	7
Gene358	0.678342288387413	10	8
Gene359	0.802352028649143	10	6
Gene360	0.280814768859163	10	7
Gene361	0.343898229468908	10	10
Gene362	0.11496669302892	10	10
Gene363	0.341585065076025	10	10
Gene364	0.133855610457582	10	10
Gene365	0.892576315823065	10	9
Gene366	0.117194506279259	10	10
Gene367	0.704551080696508	10	8
Gene368	0.82478633573276	10	10
Gene369	0.42022647864836	10	10
Gene370	1	10	6
Gene371	0.570217004520506	10	10
Gene372	0.422226917667143	10	10
Gene373	0.734448590182629	10	9
Gene374	0.583285913145316	10	10
Gene375	0.74059497323607	10	10
Gene376	0.310070864943411	10	9
Gene377	0.657239914733907	10	9
Gene378	0.227898980746939	10	10
Gene379	0.819755072184955	10	3
Gene380	1	10	8
Gene381	0.88674658191548	10	10
Gene382	0.780914813355229	10	9
Gene383	0.24592623565862	10	9
Gene384	1	10	6
Gene385	0.0158363410893325	10	9
Gene386	0.549991942136778	10	8
Gene387	0.153024749660566	10	9
Gene388	0.548355193834907	10	8
Gene389	0.105096469889807	10	9
Gene390	0.612040254470991	10	10
Gene391	0.405355263106478	10	10
Gene392	0.775589247655271	10	8
Gene393	1	10	10
Gene394	0.178763364877869	10	7
Gene395	0.0126636938659218	10	8
Gene396	0.0791031153750179	10	7
Gene397	0.442990222203722	10	5
Gene398	0.656925988678052	10	9
Gene399	0.882629797715622	10	9
Gene400	1	10	10
Gene401	0.188579500228628	10	9
Gene402	0.670206258774348	10	10
Gene403	0.377128420936553	10	5
Gene404	0.594778328234709	10	8
Gene405	0.42767292799974	10	6
Gene406	0.739064043406571	10	10
Gene407	0.506822414365601	10	9
Gene408	0.879793416766136	10	10
Gene409	1	10	10
Gene410	0.635883395950209	10	9
Gene411	0.455375936465175	10	10
Gene412	0.508439444695719	10	10
Gene413	0.64261495534141	10	8
Gene414	0.856739316053056	10	9
Gene415	0.442836978872257	10	7
Gene416	0.144481075329545	10	8
Gene417	0.597176823921006	10	9
Gene418	0.305997574860603	10	10
Gene419	0.260066528874583	10	6
Gene420	0.235222367728169	10	10
Gene421	0.743017876465379	10	9
Gene422	0.381376727237625	10	10
Gene423	0.192640727333443	10	10
Gene424	0.107439365919445	10	6
Gene425	0.167509480950063	10	8
Gene426	0.375087106590009	10	8
Gene427	0.155248730106612	10	10
Gene428	0.324918810524594	10	6
Gene429	0.446985876288779	10	9
Gene430	0.283098569825688	10	8
Gene431	0.368181014908957	10	8
Gene432	0.173734275380362	10	8
Gene433	0.688475735551651	10	3
Gene434	0.311453647549548	10	4
Gene435	0.510677311846414	10	8
Gene436	0.846532646884526	10	8
Gene437	0.317394961820792	10	6
Gene438	0.0638345462551305	10	10
Gene439	1	10	10
Gene440	1	10	10
Gene441	0.710896670969503	10	8
Gene442	0.819213727052206	10	10
Gene443	0.00409468268752078	10	10
Gene444	0.903776866325513	10	8
Gene445	0.363791835193026	10	10
Gene446	0.127381739300883	10	10
Gene447	0.0164133308836827	10	8
Gene448	1	10	8
Gene449	0.768010207358325	10	6
Gene450	0.0094217516851024	10	6
Gene451	0.249570403177429	10	10
Gene452	0.38814866585465	10	9
Gene453	0.75322564200482	10	10
Gene454	0.475792531320387	10	4
Gene455	0.0663907481174576	10	8
Gene456	0.0905491516003879	10	7
Gene457	0.24310540635778	10	9
Gene458	0.568897865443099	10	6
Gene459	0.85261294444253	10	6
Gene460	0.119603772694553	10	8
Gene461	0.570156014088651	10	10
Gene462	0.0450994521719514	10	10
Gene463	0.54506773158471	10	8
Gene464	0.827762374279851	10	5
Gene465	0.278471467078242	10	9
Gene466	0.3722758828222	10	8
Gene467	0.78497498460423	10	10
Gene468	0.7314312571485	10	10
Gene469	0.425868917027084	10	9
Gene470	0.103166221482589	10	10
Gene471	0.434067649807924	10	10
Gene472	0.1211627468767	10	10
Gene473	0.747967411624616	10	8
Gene474	0.207544552923101	10	10
Gene475	1	10	7
Gene476	0.131108473532978	10	9
Gene477	0.597315083041669	10	10
Gene478	0.189449155732653	10	8
Gene479	1	10	9
Gene480	0.201765837931567	10	8
Gene481	0.25697537474397	10	8
Gene482	0.900851249285137	10	9
Gene483	1	10	10
Gene484	0.201782377187236	10	10
Gene485	0.105235726664281	10	6
Gene486	0.585954179681466	10	6
Gene487	0.348759355913342	10	9
Gene488	1	10	9
Gene489	0.344351921175516	10	7
Gene490	0.484473672794085	10	7
Gene491	0.700256810824841	10	8
Gene492	0.550402216645591	10	9
Gene493	0.789974427508815	10	8
Gene494	0.0655107155406413	10	6
Gene495	0.15239924522933	10	8
Gene496	0.635386482260732	10	6
Gene497	0.440950979578155	10	9
Gene498	0.690163791308521	10	7
Gene499	0.443189547601401	10	8
Gene500	0.164706840656628	10	6
Gene501	0.0187041327435329	10	10
Gene502	0.88757027535416	10	10
Gene503	0.478358658121769	10	9
Gene504	0.416908746275792	10	10
Gene505	0.133741020404995	10	7
Gene506	0.573170987495905	10	10
Gene507	0.53775528935825	10	6
Gene508	0.142329692244425	10	7
Gene509	0.696721048077178	10	8
Gene510	0.436934984315289	10	10
Gene511	0.759394579574989	10	10
Gene512	0.0494948074298445	10	9
Gene513	0.761078033609978	10	8
Gene514	1	10	7
Gene515	0.0102648209714995	10	10
Gene516	0.400875617156566	10	10
Gene517	0.73230513361872	10	10
Gene518	0.498670776866986	10	9
Gene519	0.358848274037958	10	10
Gene520	0.709800111006367	10	8
Gene521	0.767342452188678	10	10
Gene522	0.690327993373318	10	10
Gene523	0.474554918102839	10	6
Gene524	0.0797750811571514	10	9
Gene525	0.124346299478661	10	6
Gene526	0.18547157274636	10	10
Gene527	0.810312683514935	10	10
Gene528	0.0221944167175951	10	8
Gene529	0.565418866493487	10	6
Gene530	0.243430527806212	10	8
Gene531	0.447231792514786	10	3
Gene532	0.698427369763984	10	10
Gene533	0.138561644560342	10	9
Gene534	0.873823333647929	10	9
Gene535	0.619627180141221	10	9
Gene536	0.0924674095395905	10	9
Gene537	0.0507167583724858	10	9
Gene538	0.108088667067973	10	7
Gene539	0.76061113086976	10	8
Gene540	0.377363599392859	10	8
Gene541	0.742090154404374	10	7
Gene542	0.519237177660392	10	6
Gene543	0.43910240896432	10	10
Gene544	0.0614520431405915	10	9
Gene545	0.00868102250738267	10	10
Gene546	0.515332800497805	10	9
Gene547	0.22081705743998	10	10
Gene548	0.632427754414028	10	8
Gene549	0.410818865454345	10	9
Gene550	0.627389554444967	10	10
Gene551	1	10	9
Gene552	0.489865647020168	10	9
Gene553	0.353574535461064	10	10
Gene554	0.0129134664259374	10	10
Gene555	0.435797222101679	10	5
Gene556	0.559327512243541	10	10
Gene557	0.105636709783284	10	9
Gene558	0.846293974523963	10	10
Gene559	0.545129109408611	10	10
Gene560	0.785167429560936	10	10
Gene561	0.484759855364025	10	7
Gene562	0.421957129413457	10	10
Gene563	0.464575972682906	10	7
Gene564	0.184170457289931	10	8
Gene565	0.0809655116862179	10	6
Gene566	0.162763727977262	10	7
Gene567	0.568287767050055	10	7
Gene568	1	10	10
Gene569	0.879316239502331	10	8
Gene570	0.717598744303886	10	9
Gene571	0.674652576860659	10	10
Gene572	0.584700178926007	10	7
Gene573	0.779063207787163	10	8
Gene574	0.873883351109197	10	10
Gene575	0.0558273275802482	10	9
Gene576	0.0272391001049805	10	10
Gene577	0.696380753551887	10	9
Gene578	0.689349710821883	10	5
Gene579	0.403548617664349	10	10
Gene580	0.0166559322692056	10	10
Gene581	0.298320000316815	10	5
Gene582	0.150125816973368	10	9
Gene583	0.655908039688965	10	9
Gene584	0.875827605376375	10	10
Gene585	0.174344090215889	10	6
Gene586	0.111171624677252	10	9
Gene587	0.83670435078579	10	10
Gene588	0.882433080461606	10	10
Gene589	1	10	10
Gene590	0.793274401450347	10	10
Gene591	0.396154552959797	10	9
Gene592	0.73812585494709	10	8
Gene593	0.618013521765477	10	9
Gene594	0.611147888607797	10	7
Gene595	0.462962621044762	10	8
Gene596	0.0267471663640647	10	9
Gene597	0.876447899221881	10	10
Gene598	0.208556602441261	10	9
Gene599	0.381932188224859	10	8
Gene600	0.552785186409472	10	4
Gene601	0.348577613648335	10	10
Gene602	0.72359730822262	10	8
Gene603	0.890572695215121	10	9
Gene604	0.814872679201949	10	8
Gene605	0.110291650256526	10	9
Gene606	0.135154727289747	10	9
Gene607	0.386398203837645	10	10
Gene608	0.717270000966559	10	10
Gene609	0.339864402228589	10	8
Gene610	0.429039484120667	10	9
Gene611	0.431187121935805	10	8
Gene612	0.822191106615329	10	10
Gene613	0.539181183358639	10	9
Gene614	0.0309734075655868	10	6
Gene615	0.30463536602792	10	9
Gene616	0.462981836964311	10	10
Gene617	0.105183508709874	10	8
Gene618	0.390434426596122	10	5
Gene619	0.328733428686244	10	6
Gene620	0.304112535473171	10	10
Gene621	0.649448635201437	10	10
Gene622	0.168712392519123	10	7
Gene623	0.348401295859992	10	10
Gene624	0.200223221585051	10	9
Gene625	0.652825433897817	10	10
Gene626	1	10	10
Gene627	0.256812540706145	10	7
Gene628	0.286023071027161	10	6
Gene629	0.200976253521426	10	10
Gene630	0.790943862315267	10	5
Gene631	0.158140332641369	10	10
Gene632	0.733510752473144	10	10
Gene633	0.833091639761832	10	10
Gene634	0.514541140945152	10	7
Gene635	0.410397502647985	10	7
Gene636	0.322835291794431	10	8
Gene637	0.667181484944001	10	10
Gene638	0.842217333690464	10	10
Gene639	0.666382008707943	10	5
Gene640	0.0461693776676027	10	7
Gene641	1	10	8
Gene642	0.688081832938505	10	7
Gene643	0.601427253185226	10	10
Gene644	0.324502747431913	10	10
Gene645	0.641028585914428	10	5
Gene646	0.7352398646141	10	9
Gene647	0.769647449091866	10	9
Gene648	0.0814638056919851	10	6
Gene649	0.624647561016768	10	6
Gene650	0.409910322398429	10	10
Gene651	0.767493143079902	10	8
Gene652	0.804514215840358	10	10
Gene653	0.0195148182460245	10	6
Gene654	0.831652285575238	10	10
Gene655	0.527456470968615	10	9
Gene656	0.029903954125078	10	10
Gene657	0.33539366214954	10	9
Gene658	0.545761487891977	10	10
Gene659	0.513040226731398	10	8
Gene660	0.643372327895276	10	5
Gene661	0.0313531021329205	10	8
Gene662	0.0554272398757486	10	10
Gene663	1	10	9
Gene664	0.618193177145794	10	8
Gene665	0.71952970956046	10	9
Gene666	0.116132693380299	10	8
Gene667	0.204535925136304	10	10
Gene668	0.0770870925450937	10	6
Gene669	0.735749175953651	10	10
Gene670	1	10	9
Gene671	0.880677131787602	10	10
Gene672	0.608049520530721	10	8
Gene673	0.0495157974244758	10	7
Gene674	0.0829332380011775	10	10
Gene675	0.538613839782475	10	6
Gene676	0.0480900632649467	10	8
Gene677	0.0121058227256446	10	7
Gene678	0.647020048420313	10	9
Gene679	0.186343221727519	10	7
Gene680	0.574868197470315	10	9
Gene681	0.866920734321089	10	8
Gene682	0.102522591281402	10	9
Gene683	0.0529747886332117	10	10
Gene684	0.0940437242862405	10	10
Gene685	1	10	7
Gene686	0.705360136357514	10	10
Gene687	0.634949774697007	10	6
Gene688	0.495206603186281	10	6
Gene689	0.27739538268298	10	9
Gene690	0.182522869250098	10	7
Gene691	0.119679493700825	10	8
Gene692	0.796452902242482	10	7
Gene693	0.583558384790948	10	9
Gene694	0.809124755333199	10	10
Gene695	0.302967497833586	10	10
Gene696	0.457354940172689	10	10
Gene697	0.0314853359076895	10	10
Gene698	0.00744368303754495	10	8
Gene699	0.304254646849669	10	8
Gene700	0.156758203245656	10	8
Gene701	0.22988540909615	10	10
Gene702	0.776762557009373	10	5
Gene703	0.870621857442347	10	9
Gene704	0.257397001445268	10	10
Gene705	0.337405959737411	10	10
Gene706	0.446056614893509	10	9
Gene707	0.297606295907002	10	10
Gene708	0.403060544431445	10	9
Gene709	1	10	9
Gene710	0.152403956159571	10	7
Gene711	0.25556965847368	10	9
Gene712	0.443681726980847	10	10
Gene713	0.88035641137743	10	10
Gene714	0.00167637720579306	10	7
Gene715	0.868943727952543	10	8
Gene716	0.819231860783326	10	9
Gene717	0.747365028276049	10	10
Gene718	1	10	6
Gene719	0.59531967179749	10	7
Gene720	0.583349902779476	10	6
Gene721	0.384501809633611	10	10
Gene722	0.40420966844993	10	10
Gene723	0.888524933821012	10	7
Gene724	0.153281070382281	10	6
Gene725	0.247690854288413	10	8
Gene726	0.551908724775132	10	9
Gene727	1	10	8
Gene728	0.569135099939243	10	10
Gene729	0.0292358402239554	10	8
Gene730	0.687943367546523	10	8
Gene731	0.225211688665673	10	9
Gene732	0.701155305490439	10	10
Gene733	0.116538670945791	10	8
Gene734	0.442474254009899	10	10
Gene735	1	10	8
Gene736	0.727678831723516	10	7
Gene737	0.500448784557025	10	8
Gene738	0.583445738680885	10	8
Gene739	0.889315485659254	10	8
Gene740	0.521861321190091	10	10
Gene741	0.0236810891588124	10	10
Gene742	1	10	10
Gene743	0.103547376900804	10	8
Gene744	1	10	10
Gene745	0.910997249598609	10	7
Gene746	1	10	10
Gene747	0.672811069534637	10	10
Gene748	0.164027278984543	10	10
Gene749	0.623995341283851	10	9
Gene750	0.287570471107632	10	5
Gene751	0.56160736289151	10	8
Gene752	0.36146577202043	10	9
Gene753	0.598593921532923	10	8
Gene754	0.780441858866117	10	10
Gene755	0.702603960918141	10	9
Gene756	0.416665722656839	10	10
Gene757	0.0945744492329957	10	8
Gene758	0.608819803202459	10	8
Gene759	0.0171949256182231	10	7
Gene760	0.721128767368063	10	7
Gene761	0.903250071805042	10	9
Gene762	0.57231696601667	10	7
Gene763	0.362984159159021	10	9
Gene764	1	10	10
Gene765	0.621831581429399	10	8
Gene766	0.604106012744652	10	7
Gene767	0.405501347673566	10	8
Gene768	0.242424936111926	10	7
Gene769	0.0941697262110368	10	10
Gene770	0.676072851325095	10	10
Gene771	1	10	10
Gene772	0.55950876423831	10	10
Gene773	0.714696799447194	10	10
Gene774	0.140869820298033	10	10
Gene775	0.744949715313877	10	10
Gene776	0.494312935026939	10	8
Gene777	0.0852601967565475	10	7
Gene778	0.675880623744841	10	8
Gene779	0.806754606605902	10	8
Gene780	0.646705672058893	10	10
Gene781	0.470398892789489	10	10
Gene782	0.364098942633064	10	7
Gene783	0.666989144836992	10	8
Gene784	0.329004109819922	10	10
Gene785	0.652650411942109	10	10
Gene786	0.119951009715859	10	4
Gene787	0.00638340327760778	10	7
Gene788	1	10	9
Gene789	0.65706557148306	10	10
Gene790	0.679960950080317	10	10
Gene791	0.498516296855328	10	8
Gene792	0.506358171979649	10	9
Gene793	0.767874791937602	10	10
Gene794	0.0876655861038295	10	10
Gene795	0.150394449907208	10	10
Gene796	1	10	9
Gene797	0.143942198416532	10	8
Gene798	0.211290995045407	10	10
Gene799	0.442383844341495	10	9
Gene800	1	10	10
Gene801	0.85582830459546	10	8
Gene802	0.633576246585486	10	9
Gene803	0.410081382192127	10	10
Gene804	1	10	10
Gene805	0.243775546122532	10	10
Gene806	0.647304085365241	10	10
Gene807	0.188317695183803	10	5
Gene808	0.828262636439064	10	8
Gene809	0.276896592849394	10	10
Gene810	0.681894680230791	10	10
Gene811	0.49274874615888	10	10
Gene812	1	10	10
Gene813	0.184022622351237	10	10
Gene814	0.809144988939978	10	10
Gene815	0.905358994559329	10	7
Gene816	0.490579587325816	10	10
Gene817	0.712187326767564	10	10
Gene818	0.739479054959939	10	10
Gene819	0.226021348411929	10	6
Gene820	0.606460036430769	10	10
Gene821	0.115855760730159	10	8
Gene822	0.517888846345699	10	10
Gene823	0.905665065808971	10	8
Gene824	0.212887982670193	10	10
Gene825	0.740271133028306	10	9
Gene826	0.596055850083165	10	4
Gene827	0.253124436995254	10	9
Gene828	0.547230044068589	10	8
Gene829	1	10	10
Gene830	0.146423581299827	10	10
Gene831	0.100882582892384	10	10
Gene832	0.64780102822026	10	9
Gene833	0.0578669566869058	10	10
Gene834	0.38523717163049	10	10
Gene835	0.453040713744462	10	10
Gene836	0.36749477310169	10	7
Gene837	0.361346083796122	10	9
Gene838	0.353907067814785	10	10
Gene839	0.365563547153593	10	10
