SetID	P.value	N.Marker.All	N.Marker.Test	MAC	m	Method.bin	MAP	cases_cMAC	cases_cMAF	controls_cMAC	controls_cMAF	no_of_carriers	enrichment_ratio	P_regression	OR_noOfMutations	OR_L95	OR_U95	eff_estimate	eff_stdErr	chr	start	end	gene_type	strand	additional_info1	additional_info2	exome_wide_check
Gene686	0.017917047195153	10	10	27	14	ER.A	-1	23	0.011856	4	0.001942	14	6.105	0.0456143793730959	2.417	1.017	5.744	0.883	0.442	1	1028000	1029000	non_coding	-	info686	info686	NA
Gene1161	0.0183041908387709	10	4	9	7	ER	0.00307021258382287	2	0.001031	7	0.003398	7	0.303	0.189554220152683	0.383	0.091	1.607	-0.96	0.732	1	1740500	1741500	protein_coding	+	info1161	info1161	NA
Gene128	0.0183395030588144	10	8	17	11	ER	9.09862663852558e-05	8	0.004124	9	0.004369	11	0.944	0.671873848203864	0.853	0.409	1.78	-0.159	0.375	1	191000	192000	non_coding	-	info128	info128	NA
Gene1186	0.0188017272535477	10	10	30	20	ER.A	-1	19	0.009794	11	0.00534	20	1.834	0.2446317155921	1.409	0.791	2.511	0.343	0.295	1	1778000	1779000	non_coding	-	info1186	info1186	NA
Gene970	0.0190792663895465	10	7	13	10	ER	0.000357549464964947	2	0.001031	11	0.00534	10	0.193	0.068866289988779	0.25	0.056	1.113	-1.387	0.763	1	1454000	1455000	non_coding	-	info970	info970	NA
Gene799	0.0197623564385784	10	8	16	12	ER	5.63054687024959e-05	11	0.00567	5	0.002427	12	2.336	0.167596747172528	1.916	0.761	4.827	0.65	0.471	1	1197500	1198500	protein_coding	+	info799	info799	NA
Gene690	0.0213766500219833	10	10	28	18	ER.A	-1	7	0.003608	21	0.010194	18	0.354	0.0630799883301146	0.522	0.263	1.036	-0.651	0.35	1	1034000	1035000	non_coding	-	info690	info690	NA
Gene1235	0.0219366244950678	10	6	11	8	ER	0.00088731843266322	10	0.005155	1	0.000485	8	10.629	0.0573196075723131	6.747	0.942	48.312	1.909	1.004	1	1851500	1852500	protein_coding	+	info1235	info1235	NA
Gene62	0.0226344737147217	10	10	29	17	ER.A	-1	5	0.002577	24	0.01165	17	0.221	0.028395295505902	0.381	0.161	0.903	-0.964	0.44	1	92000	93000	non_coding	-	info62	info62	NA
Gene797	0.0247798775725714	10	10	27	16	ER.A	-1	20	0.010309	7	0.003398	16	3.034	0.0760856954886038	1.805	0.94	3.467	0.591	0.333	1	1194500	1195500	protein_coding	+	info797	info797	NA
Gene820	0.0250453417385305	10	8	11	6	ER	0.00259396807339519	9	0.004639	2	0.000971	6	4.778	0.161411427048561	2.578	0.685	9.708	0.947	0.676	1	1229000	1230000	non_coding	-	info820	info820	NA
Gene408	0.0271144785229572	10	9	15	11	ER	0.000125492328626712	13	0.006701	2	0.000971	11	6.901	0.0469337859971416	4.515	1.021	19.975	1.507	0.759	1	611000	612000	non_coding	-	info408	info408	NA
Gene1345	0.0283334403842321	10	10	26	12	ER.A	-1	22	0.01134	4	0.001942	12	5.839	0.0520046851620174	2.224	0.993	4.98	0.799	0.411	1	2016500	2017500	protein_coding	+	info1345	info1345	NA
Gene958	0.0292860870061651	10	10	26	17	ER.A	-1	14	0.007216	12	0.005825	17	1.239	0.596819776485904	1.16	0.67	2.007	0.148	0.28	1	1436000	1437000	non_coding	-	info958	info958	NA
Gene1048	0.0312702233595521	10	10	28	20	ER.A	-1	21	0.010825	7	0.003398	20	3.186	0.0435804463296943	2.333	1.025	5.313	0.847	0.42	1	1571000	1572000	non_coding	-	info1048	info1048	NA
Gene1162	0.0313813687201787	10	9	16	7	ER	0.00225566770117005	1	0.000515	15	0.007282	7	0.071	0.100812608950433	0.262	0.053	1.297	-1.339	0.816	1	1742000	1743000	non_coding	-	info1162	info1162	NA
Gene366	0.0320679185927742	10	9	21	10	ER.A	-1	19	0.009794	2	0.000971	10	10.087	0.0432211156386797	3.182	1.036	9.773	1.157	0.573	1	548000	549000	non_coding	-	info366	info366	NA
Gene1396	0.0323025687056206	10	9	19	17	ER	7.38424160895466e-07	12	0.006186	7	0.003398	17	1.82	0.213523579035735	1.779	0.718	4.409	0.576	0.463	1	2093000	2094000	non_coding	-	info1396	info1396	NA
Gene104	0.0330510752646445	10	6	6	3	ER	0.0330510752646445	4	0.002062	2	0.000971	3	2.124	0.545345647099935	1.429	0.449	4.546	0.357	0.59	1	155000	156000	non_coding	-	info104	info104	NA
Gene368	0.0336179371910036	10	9	30	17	ER.A	-1	6	0.003093	24	0.01165	17	0.265	0.0274804573393699	0.454	0.225	0.916	-0.79	0.358	1	551000	552000	non_coding	-	info368	info368	NA
Gene407	0.0339695324704753	10	10	24	11	ER.A	-1	20	0.010309	4	0.001942	11	5.308	0.0633841362901418	1.986	0.962	4.099	0.686	0.37	1	609500	610500	protein_coding	+	info407	info407	NA
Gene1147	0.0344205046077989	10	7	18	12	ER	4.41020079496433e-05	14	0.007216	4	0.001942	12	3.716	0.0554437547337104	2.461	0.979	6.185	0.901	0.47	1	1719500	1720500	protein_coding	+	info1147	info1147	NA
Gene364	0.0345452581722014	10	7	12	10	ER	0.000297779211317648	5	0.002577	7	0.003398	10	0.758	0.53541387331503	0.721	0.256	2.028	-0.327	0.528	1	545000	546000	non_coding	-	info364	info364	NA
Gene1393	0.0353248506678654	10	10	30	14	ER.A	-1	7	0.003608	23	0.011165	14	0.323	0.112102899946274	0.633	0.36	1.113	-0.457	0.288	1	2088500	2089500	protein_coding	+	info1393	info1393	NA
Gene60	0.0371585697813742	10	7	18	7	ER	0.00124346928192465	13	0.006701	5	0.002427	7	2.761	0.208402316098101	1.513	0.794	2.885	0.414	0.329	1	89000	90000	non_coding	-	info60	info60	NA
Gene655	0.037791540949274	10	8	27	15	ER.A	-1	5	0.002577	22	0.01068	15	0.241	0.0735863959772246	0.437	0.176	1.082	-0.828	0.463	1	981500	982500	protein_coding	+	info655	info655	NA
Gene138	0.039012821728551	10	10	24	15	ER.A	-1	5	0.002577	19	0.009223	15	0.279	0.0336446791043957	0.42	0.189	0.935	-0.867	0.408	1	206000	207000	non_coding	-	info138	info138	NA
Gene785	0.0396098161383358	10	8	21	11	ER.A	-1	16	0.008247	5	0.002427	11	3.398	0.113819946660491	1.786	0.87	3.663	0.58	0.367	1	1176500	1177500	protein_coding	+	info785	info785	NA
Gene1172	0.040182695132584	10	7	14	13	ER	1.77871285015769e-05	8	0.004124	6	0.002913	13	1.416	0.528914487293042	1.403	0.489	4.028	0.339	0.538	1	1757000	1758000	non_coding	-	info1172	info1172	NA
Gene475	0.0419784412604745	10	10	20	11	ER	7.57600427290345e-05	17	0.008763	3	0.001456	11	6.019	0.0610517831315135	2.843	0.953	8.482	1.045	0.558	1	711500	712500	protein_coding	+	info475	info475	NA
Gene764	0.0420438841428451	10	5	14	14	ER	5.60055558072511e-06	6	0.003093	8	0.003883	14	0.797	0.767075969927454	0.844	0.276	2.587	-0.169	0.571	1	1145000	1146000	non_coding	-	info764	info764	NA
Gene1095	0.0423485611648373	10	9	29	15	ER.A	-1	12	0.006186	17	0.008252	15	0.75	0.765918716505725	0.923	0.544	1.566	-0.08	0.27	1	1641500	1642500	protein_coding	+	info1095	info1095	NA
Gene197	0.0432707982117729	10	9	18	13	ER	2.96625031813043e-05	3	0.001546	15	0.007282	13	0.212	0.0397541346876336	0.309	0.101	0.947	-1.174	0.571	1	294500	295500	protein_coding	+	info197	info197	NA
Gene602	0.0438071060750149	10	8	12	10	ER	0.000329740506128712	8	0.004124	4	0.001942	10	2.124	0.314290618251233	1.736	0.593	5.079	0.551	0.548	1	902000	903000	non_coding	-	info602	info602	NA
Gene595	0.0448385762303639	10	10	24	19	ER.A	-1	6	0.003093	18	0.008738	19	0.354	0.104207982768788	0.5	0.217	1.154	-0.693	0.427	1	891500	892500	protein_coding	+	info595	info595	NA
Gene400	0.0450756032349367	10	9	15	12	ER	5.59896498627774e-05	8	0.004124	7	0.003398	12	1.214	0.722428449830958	1.167	0.499	2.73	0.154	0.434	1	599000	600000	non_coding	-	info400	info400	NA
Gene1123	0.0456122059184657	10	7	17	10	ER	0.000188453044218906	3	0.001546	14	0.006796	10	0.227	0.0877848595777817	0.397	0.137	1.147	-0.924	0.541	1	1683500	1684500	protein_coding	+	info1123	info1123	NA
Gene1144	0.0464085221577699	10	9	26	18	ER.A	-1	14	0.007216	12	0.005825	18	1.239	0.725053062696447	1.116	0.604	2.062	0.11	0.313	1	1715000	1716000	non_coding	-	info1144	info1144	NA
Gene527	0.0464597507742576	10	10	34	15	ER.A	-1	10	0.005155	24	0.01165	15	0.442	0.192130442991176	0.726	0.448	1.175	-0.32	0.246	1	789500	790500	protein_coding	+	info527	info527	NA
Gene1031	0.0485252013799559	10	9	22	12	ER.A	-1	6	0.003093	16	0.007767	12	0.398	0.151429563327904	0.622	0.325	1.19	-0.475	0.331	1	1545500	1546500	protein_coding	+	info1031	info1031	NA
Gene902	0.0492305119743756	10	7	23	21	ER.A	-1	6	0.003093	17	0.008252	21	0.375	0.0319654015931921	0.353	0.137	0.914	-1.04	0.485	1	1352000	1353000	non_coding	-	info902	info902	NA
Gene269	0.0502608148819644	10	9	24	19	ER.A	-1	13	0.006701	11	0.00534	19	1.255	0.712615301610327	1.141	0.566	2.301	0.132	0.358	1	402500	403500	protein_coding	+	info269	info269	NA
Gene1280	0.0504621165609549	10	10	30	19	ER.A	-1	11	0.00567	19	0.009223	19	0.615	0.421223436363488	0.788	0.44	1.409	-0.239	0.297	1	1919000	1920000	non_coding	-	info1280	info1280	NA
Gene776	0.0506506159156072	10	9	32	14	ER.A	-1	25	0.012887	7	0.003398	14	3.793	0.0389040641661611	1.831	1.031	3.249	0.605	0.293	1	1163000	1164000	non_coding	-	info776	info776	NA
Gene937	0.0513483313711004	10	7	20	15	ER	3.95214368404793e-06	4	0.002062	16	0.007767	15	0.265	0.047788101410426	0.358	0.13	0.99	-1.026	0.519	1	1404500	1405500	protein_coding	+	info937	info937	NA
Gene1311	0.0521992850049048	10	4	10	10	ER	0.000168813808059445	8	0.004124	2	0.000971	10	4.247	0.0447748703842325	5.124	1.039	25.274	1.634	0.814	1	1965500	1966500	protein_coding	+	info1311	info1311	NA
Gene832	0.0523414129866757	10	10	28	17	ER.A	-1	21	0.010825	7	0.003398	17	3.186	0.051878786642071	1.989	0.994	3.977	0.687	0.354	1	1247000	1248000	non_coding	-	info832	info832	NA
Gene1421	0.0527667937037199	10	8	20	15	ER	2.82097195509755e-06	13	0.006701	7	0.003398	15	1.972	0.204276492652019	1.664	0.758	3.651	0.509	0.401	1	2130500	2131500	protein_coding	+	info1421	info1421	NA
Gene182	0.0546766882493303	10	9	26	20	ER.A	-1	19	0.009794	7	0.003398	20	2.882	0.0427449728435756	2.279	1.027	5.057	0.824	0.407	1	272000	273000	non_coding	-	info182	info182	NA
Gene178	0.056343536737978	10	8	20	11	ER	0.000103530410442023	17	0.008763	3	0.001456	11	6.019	0.0521736420381727	2.647	0.991	7.072	0.973	0.501	1	266000	267000	non_coding	-	info178	info178	NA
Gene712	0.0589034062437796	10	10	30	26	ER.A	-1	9	0.004639	21	0.010194	26	0.455	0.035174749871469	0.434	0.2	0.944	-0.834	0.396	1	1067000	1068000	non_coding	-	info712	info712	NA
Gene811	0.0591915981226265	10	10	28	10	ER.A	-1	24	0.012371	4	0.001942	10	6.37	0.0820400097044741	1.807	0.928	3.52	0.592	0.34	1	1215500	1216500	protein_coding	+	info811	info811	NA
Gene1417	0.0596200177949828	10	8	24	13	ER.A	-1	17	0.008763	7	0.003398	13	2.579	0.0547789293894405	1.919	0.987	3.732	0.652	0.339	1	2124500	2125500	protein_coding	+	info1417	info1417	NA
Gene177	0.0603920075445248	10	10	29	18	ER.A	-1	7	0.003608	22	0.01068	18	0.338	0.0440509672546209	0.49	0.245	0.981	-0.713	0.354	1	264500	265500	protein_coding	+	info177	info177	NA
Gene135	0.0611441858647755	10	8	21	13	ER.A	-1	6	0.003093	15	0.007282	13	0.425	0.176588189401999	0.603	0.29	1.256	-0.505	0.374	1	201500	202500	protein_coding	+	info135	info135	NA
Gene707	0.0612941148041845	10	10	22	18	ER.A	-1	13	0.006701	9	0.004369	18	1.534	0.299233094799696	1.51	0.693	3.288	0.412	0.397	1	1059500	1060500	protein_coding	+	info707	info707	NA
Gene798	0.0618980901578861	10	6	12	9	ER	0.000558917488550933	2	0.001031	10	0.004854	9	0.212	0.0876157634514044	0.288	0.069	1.201	-1.244	0.729	1	1196000	1197000	non_coding	-	info798	info798	NA
Gene1304	0.0641170291278392	10	4	5	4	ER	0.0218413572518579	4	0.002062	1	0.000485	4	4.252	0.242066162429119	3.354	0.442	25.467	1.21	1.034	1	1955000	1956000	non_coding	-	info1304	info1304	NA
Gene606	0.0643513439940426	10	8	23	14	ER.A	-1	5	0.002577	18	0.008738	14	0.295	0.0429541261885496	0.444	0.202	0.975	-0.812	0.401	1	908000	909000	non_coding	-	info606	info606	NA
Gene984	0.064682854544878	10	6	16	5	ER	0.0105540941523515	0	0	16	0.007767	5	0	0.982972251856263	0.001	0	3.37858421804048e+294	-7.466	349.825	1	1475000	1476000	non_coding	-	info984	info984	NA
Gene1399	0.0650673540530245	10	8	13	10	ER	0.000348587838165005	2	0.001031	11	0.00534	10	0.193	0.0727366176294692	0.267	0.063	1.13	-1.322	0.737	1	2097500	2098500	protein_coding	+	info1399	info1399	NA
Gene1013	0.0676298890681955	10	10	14	9	ER	0.000776157165073339	12	0.006186	2	0.000971	9	6.371	0.149267475976123	3.048	0.67	13.859	1.114	0.773	1	1518500	1519500	protein_coding	+	info1013	info1013	NA
Gene1298	0.0679456618354405	10	10	20	12	ER	6.50108879143697e-05	3	0.001546	17	0.008252	12	0.187	0.0740575741254788	0.363	0.119	1.104	-1.014	0.568	1	1946000	1947000	non_coding	-	info1298	info1298	NA
Gene677	0.0682150550277008	10	8	17	12	ER	2.31575404257388e-05	6	0.003093	11	0.00534	12	0.579	0.47630234870011	0.745	0.331	1.677	-0.295	0.414	1	1014500	1015500	protein_coding	+	info677	info677	NA
Gene487	0.0684206828678081	10	5	10	6	ER	0.00289171771988457	1	0.000515	9	0.004369	6	0.118	0.188525573944252	0.289	0.045	1.839	-1.242	0.945	1	729500	730500	protein_coding	+	info487	info487	NA
Gene419	0.0688308077149891	10	9	19	13	ER	1.34458281425622e-05	9	0.004639	10	0.004854	13	0.956	0.886687852358855	0.956	0.515	1.776	-0.045	0.316	1	627500	628500	protein_coding	+	info419	info419	NA
Gene599	0.0691028903175118	10	4	6	6	ER	0.0065462000431846	3	0.001546	3	0.001456	6	1.062	0.989156859556129	0.988	0.186	5.25	-0.012	0.852	1	897500	898500	protein_coding	+	info599	info599	NA
Gene1015	0.0692107312316255	10	9	19	13	ER	1.65473243786724e-05	4	0.002062	15	0.007282	13	0.283	0.0799830030483069	0.428	0.165	1.107	-0.85	0.485	1	1521500	1522500	protein_coding	+	info1015	info1015	NA
Gene264	0.0693317446518107	10	9	29	23	ER.A	-1	20	0.010309	9	0.004369	23	2.36	0.0366132479294304	2.23	1.051	4.731	0.802	0.384	1	395000	396000	non_coding	-	info264	info264	NA
Gene136	0.0694047091306076	10	10	38	20	ER.A	-1	26	0.013402	12	0.005825	20	2.301	0.121692423765647	1.478	0.901	2.424	0.391	0.252	1	203000	204000	non_coding	-	info136	info136	NA
Gene488	0.0705316417711832	10	3	5	4	ER	0.0226389476715047	2	0.001031	3	0.001456	4	0.708	0.819679805826787	0.833	0.173	4.016	-0.183	0.803	1	731000	732000	non_coding	-	info488	info488	NA
Gene328	0.0712114861191112	10	5	17	11	ER	0.000149526117743228	9	0.004639	8	0.003883	11	1.195	0.896996819084902	1.052	0.49	2.26	0.051	0.39	1	491000	492000	non_coding	-	info328	info328	NA
Gene981	0.0717411499515521	10	8	23	12	ER.A	-1	4	0.002062	19	0.009223	12	0.224	0.0799523056021421	0.494	0.225	1.088	-0.705	0.402	1	1470500	1471500	protein_coding	+	info981	info981	NA
Gene431	0.0721662872564807	10	10	25	12	ER.A	-1	4	0.002062	21	0.010194	12	0.202	0.0693133339580478	0.478	0.216	1.06	-0.738	0.406	1	645500	646500	protein_coding	+	info431	info431	NA
Gene1006	0.072178044924337	10	7	11	8	ER	0.00100470760325591	6	0.003093	5	0.002427	8	1.274	0.715220298097962	1.173	0.498	2.759	0.159	0.437	1	1508000	1509000	non_coding	-	info1006	info1006	NA
Gene839	0.0723700471331188	10	5	11	7	ER	0.00180688509487782	9	0.004639	2	0.000971	7	4.778	0.0961588014885843	2.934	0.826	10.423	1.076	0.647	1	1257500	1258500	protein_coding	+	info839	info839	NA
Gene815	0.0734238818069661	10	10	21	15	ER.A	-1	4	0.002062	17	0.008252	15	0.25	0.0657332563951178	0.406	0.155	1.06	-0.902	0.49	1	1221500	1222500	protein_coding	+	info815	info815	NA
Gene164	0.0741613907696976	10	7	20	17	ER	2.36760798357316e-07	14	0.007216	6	0.002913	17	2.477	0.0513380995244504	2.549	0.995	6.535	0.936	0.48	1	245000	246000	non_coding	-	info164	info164	NA
Gene161	0.0749303556511968	10	6	14	14	ER	1.25626868603438e-05	8	0.004124	6	0.002913	14	1.416	0.533203628182476	1.429	0.465	4.391	0.357	0.573	1	240500	241500	protein_coding	+	info161	info161	NA
Gene231	0.0756571989464765	10	6	14	6	ER	0.00354799956407052	2	0.001031	12	0.005825	6	0.177	0.22066831847423	0.532	0.193	1.461	-0.632	0.516	1	345500	346500	protein_coding	+	info231	info231	NA
Gene320	0.0769862592153378	10	10	31	10	ER.A	-1	8	0.004124	23	0.011165	10	0.369	0.399113792326339	0.838	0.556	1.263	-0.176	0.209	1	479000	480000	non_coding	-	info320	info320	NA
Gene701	0.0775521220796821	10	8	17	15	ER	1.75360054719331e-06	5	0.002577	12	0.005825	15	0.442	0.0580971901545566	0.365	0.129	1.035	-1.008	0.532	1	1050500	1051500	protein_coding	+	info701	info701	NA
Gene1132	0.0777367949604555	10	10	28	19	ER.A	-1	8	0.004124	20	0.009709	19	0.425	0.132670188754837	0.593	0.301	1.172	-0.522	0.347	1	1697000	1698000	non_coding	-	info1132	info1132	NA
Gene1022	0.0779867904147392	10	9	22	11	ER.A	-1	6	0.003093	16	0.007767	11	0.398	0.11898481912975	0.59	0.304	1.145	-0.528	0.339	1	1532000	1533000	non_coding	-	info1022	info1022	NA
Gene843	0.0791959200992558	10	8	17	14	ER	1.04562058971991e-05	9	0.004639	8	0.003883	14	1.195	0.834598022596016	1.094	0.47	2.548	0.09	0.431	1	1263500	1264500	protein_coding	+	info843	info843	NA
Gene1192	0.0794307817358676	10	10	31	23	ER.A	-1	15	0.007732	16	0.007767	23	0.995	0.931827758916286	0.973	0.52	1.82	-0.027	0.32	1	1787000	1788000	non_coding	-	info1192	info1192	NA
Gene563	0.0797565052463353	10	8	18	6	ER	0.0051846546195326	4	0.002062	14	0.006796	6	0.303	0.244690276641106	0.689	0.368	1.29	-0.372	0.32	1	843500	844500	protein_coding	+	info563	info563	NA
Gene63	0.0809264916847821	10	10	24	19	ER.A	-1	6	0.003093	18	0.008738	19	0.354	0.0580882611949457	0.445	0.193	1.028	-0.809	0.427	1	93500	94500	protein_coding	+	info63	info63	NA
Gene282	0.081504983146094	10	7	12	6	ER	0.00625733363617377	1	0.000515	11	0.00534	6	0.096	0.169499829750848	0.297	0.053	1.678	-1.213	0.883	1	422000	423000	non_coding	-	info282	info282	NA
Gene945	0.0833052048060522	10	10	18	11	ER	0.000146081869876197	12	0.006186	6	0.002913	11	2.124	0.367918624546	1.415	0.665	3.014	0.347	0.386	1	1416500	1417500	protein_coding	+	info945	info945	NA
Gene1336	0.085280329503573	10	8	22	19	ER.A	-1	13	0.006701	9	0.004369	19	1.534	0.284270851483342	1.558	0.692	3.51	0.444	0.414	1	2003000	2004000	non_coding	-	info1336	info1336	NA
Gene1250	0.0854350491310547	10	8	26	14	ER.A	-1	15	0.007732	11	0.00534	14	1.448	0.48696265395862	1.219	0.697	2.132	0.198	0.285	1	1874000	1875000	non_coding	-	info1250	info1250	NA
Gene754	0.0854955046013414	10	10	24	15	ER.A	-1	17	0.008763	7	0.003398	15	2.579	0.181988340167284	1.576	0.808	3.074	0.455	0.341	1	1130000	1131000	non_coding	-	info754	info754	NA
Gene909	0.0855038299809044	10	10	22	9	ER.A	-1	2	0.001031	20	0.009709	9	0.106	0.138961790731439	0.392	0.113	1.356	-0.937	0.633	1	1362500	1363500	protein_coding	+	info909	info909	NA
Gene372	0.0857801811668676	10	9	23	14	ER.A	-1	16	0.008247	7	0.003398	14	2.427	0.164902666798506	1.646	0.815	3.325	0.498	0.359	1	557000	558000	non_coding	-	info372	info372	NA
Gene1352	0.0859428457198675	10	10	21	12	ER.A	-1	4	0.002062	17	0.008252	12	0.25	0.0947014641620909	0.456	0.181	1.145	-0.786	0.47	1	2027000	2028000	non_coding	-	info1352	info1352	NA
Gene1180	0.0870535267844521	10	6	14	8	ER	0.000849885325258931	1	0.000515	13	0.006311	8	0.082	0.119661805720806	0.206	0.028	1.506	-1.578	1.014	1	1769000	1770000	non_coding	-	info1180	info1180	NA
Gene583	0.0873907344727764	10	10	27	13	ER.A	-1	13	0.006701	14	0.006796	13	0.986	0.806077443571229	0.94	0.573	1.541	-0.062	0.252	1	873500	874500	protein_coding	+	info583	info583	NA
Gene245	0.0879754120521829	10	9	22	11	ER.A	-1	6	0.003093	16	0.007767	11	0.398	0.249872795314628	0.69	0.367	1.298	-0.371	0.322	1	366500	367500	protein_coding	+	info245	info245	NA
Gene1361	0.0882234629785108	10	10	30	13	ER.A	-1	22	0.01134	8	0.003883	13	2.92	0.177894711687347	1.421	0.852	2.368	0.351	0.261	1	2040500	2041500	protein_coding	+	info1361	info1361	NA
Gene459	0.0893418945072957	10	9	22	14	ER.A	-1	5	0.002577	17	0.008252	14	0.312	0.0734897854723208	0.479	0.214	1.073	-0.737	0.412	1	687500	688500	protein_coding	+	info459	info459	NA
Gene827	0.089706853792957	10	9	17	9	ER	0.00107680403662095	3	0.001546	14	0.006796	9	0.227	0.147596716962528	0.515	0.21	1.264	-0.663	0.458	1	1239500	1240500	protein_coding	+	info827	info827	NA
Gene172	0.0900202946443498	10	8	21	15	ER.A	-1	5	0.002577	16	0.007767	15	0.332	0.0595397225864737	0.432	0.181	1.034	-0.839	0.445	1	257000	258000	non_coding	-	info172	info172	NA
Gene669	0.0913765433242713	10	9	25	19	ER.A	-1	16	0.008247	9	0.004369	19	1.888	0.205089161773828	1.621	0.768	3.423	0.483	0.381	1	1002500	1003500	protein_coding	+	info669	info669	NA
Gene536	0.0921332642459234	10	5	18	11	ER	3.77161854920409e-05	8	0.004124	10	0.004854	11	0.85	0.991471513051747	1.004	0.483	2.089	0.004	0.374	1	803000	804000	non_coding	-	info536	info536	NA
Gene844	0.0934432478634538	10	9	26	15	ER.A	-1	19	0.009794	7	0.003398	15	2.882	0.0487034185611236	2.008	1.004	4.018	0.697	0.354	1	1265000	1266000	non_coding	-	info844	info844	NA
Gene1431	0.0942604246005778	10	7	22	11	ER.A	-1	16	0.008247	6	0.002913	11	2.831	0.237644427642095	1.502	0.765	2.948	0.407	0.344	1	2145500	2146500	protein_coding	+	info1431	info1431	NA
